riddle,choice0,choice1,choice2,choice3,(index of correct choice)
"I am always hungry, I must always be fed, The finger I touch, Will soon turn red",flamethrower,flammable,lightning,fire,3
"I am always hungry, I must always be fed, The finger I touch, Will soon turn red",flammable,blood,fire,flamethrower,2
There's one in every deck of cards and in a famous movie.,batman,helicopter,joker,meteor,2
There's one in every deck of cards and in a famous movie.,joker,batman,meteor,makoto,0
"I'm a small ring shaped fried cake, often with bavarian cream or fruit filling, and sometimes covered in icing and sprinkles.",banana,watermelon,pretzel,donut,3
"I'm a small ring shaped fried cake, often with bavarian cream or fruit filling, and sometimes covered in icing and sprinkles.",banana,donut,sandwich,watermelon,1
"Screaming, soaring seeking sky. Flowers of fire flying high. Eastern art from ancient time. Name me now and solve this rhyme.",flammable,firecracker,firework,dynamite,2
"Screaming, soaring seeking sky. Flowers of fire flying high. Eastern art from ancient time. Name me now and solve this rhyme.",lightning,flammable,dynamite,firework,3
What is that which is less tired the longer it runs?,piston,brake,steering,wheel,3
What is that which is less tired the longer it runs?,carriage,piston,brake,wheel,3
He is not the skinniest of felines.,fat cat,spiral staircase,lamp,kitty,0
He is not the skinniest of felines.,fat cat,kitty,ferret,lamp,0
"Put into a pit, locked beneath a grate, guarded through the night, yet it still goes out.",fire,blood,lightning,flammable,0
"Put into a pit, locked beneath a grate, guarded through the night, yet it still goes out.",lightning,flamethrower,fire,blood,2
"What is yellow, looks like the moon and has seeds?",snack,avocado,peanut butter,banana,3
"What is yellow, looks like the moon and has seeds?",peanut butter,avocado,watermelon,banana,3
I am your mother's brother's only brother in law. Who am I?,spiral staircase,brother,father,dad,2
I am your mother's brother's only brother in law. Who am I?,lamp,dad,brother,father,3
"If you have me, you want to tell me. If you tell me, you don't have me.",truth,secrecy,eg,secret,3
"If you have me, you want to tell me. If you tell me, you don't have me.",eg,surprise,secret,truth,2
You are having a bad day if 12 peers deem you to be this.,guilty,innocent,remorseful,jealousy,0
You are having a bad day if 12 peers deem you to be this.,guilty,remorseful,anger,jealousy,0
What kind of key do you use on Thanksgiving?,helicopter,Turkey,Italy,meteor,1
What kind of key do you use on Thanksgiving?,meteor,Iran,Turkey,helicopter,2
"A spirited jig it dances bright, Banishing all but darkest night. Fire can't kill it but water can. Share it, it won't get less unless wind will ruin it.",flammable,fire,blood,lightning,1
"A spirited jig it dances bright, Banishing all but darkest night. Fire can't kill it but water can. Share it, it won't get less unless wind will ruin it.",lightning,flamethrower,fire,blood,2
what kind of button doesn't un button,Katy,Marie,belly button,loins,2
what kind of button doesn't un button,Katy,belly button,Marie,tounge,1
"Before I came, confusion abounded. I'm late, I'm late was frequently sounded. I'm not average, but was based on a mean. My size, in theory, is constant: fifteen. I'm two dozen steps, again in theory. But walk my length and you'd get weary. I take half and quarter steps at times. In reality, I don't follow the lines. I shrink to nothing in two cold extremes. Over a thousand miles wide in the betweens. What am I?",Time zones,jet lag,daylight savings,lamp,0
"Before I came, confusion abounded. I'm late, I'm late was frequently sounded. I'm not average, but was based on a mean. My size, in theory, is constant: fifteen. I'm two dozen steps, again in theory. But walk my length and you'd get weary. I take half and quarter steps at times. In reality, I don't follow the lines. I shrink to nothing in two cold extremes. Over a thousand miles wide in the betweens. What am I?",spiral staircase,lamp,Time zones,daylight savings,2
I can help you to mend. I hide my body but never my head. What am I?,lightning,nail,tooth,flammable,1
I can help you to mend. I hide my body but never my head. What am I?,nail,tooth,flammable,wax,0
What gets broken when you don't hold it?,secret,secrecy,truth,eg,0
What gets broken when you don't hold it?,surprise,secrecy,secret,truth,2
Peter is hiding but his head is can seen.,tooth,flammable,nail,lightning,2
Peter is hiding but his head is can seen.,wax,flammable,tooth,nail,3
"Slowly creeping, I am weeping, changing shades, and growing.",winter,autumn,earthquake,spring,3
"Slowly creeping, I am weeping, changing shades, and growing.",winter,spring,tornado,earthquake,1
"Do not begrudge this, For it is the fate that men want. Yet it is feared, And shunned in many lands. Causes problems, and sometimes gaps, Can hobble the strongest, and make memory lapse. What is this danger we all face.For being a part of the human race?",dementia,English,retirement,old age,3
"Do not begrudge this, For it is the fate that men want. Yet it is feared, And shunned in many lands. Causes problems, and sometimes gaps, Can hobble the strongest, and make memory lapse. What is this danger we all face.For being a part of the human race?",dementia,alphabet,English,old age,3
"My 9, 12, 3, 4, 5, 1, 2 is a title of respect. My 6, 2, 12, 11 can take the place of a musical note. My 1, 5, 8 is the top of a cup. My 3, 4, 7, 9, 10 is worth nine points on a chess board. My whole is what is expected.",requirements,specifications,skills,criteria,0
"My 9, 12, 3, 4, 5, 1, 2 is a title of respect. My 6, 2, 12, 11 can take the place of a musical note. My 1, 5, 8 is the top of a cup. My 3, 4, 7, 9, 10 is worth nine points on a chess board. My whole is what is expected.",budget,skills,requirements,criteria,2
What kind of cookie is a chocolate sandwich cookie with a creamy white filling?,Nutella,iphone,Oreo,Miui,2
What kind of cookie is a chocolate sandwich cookie with a creamy white filling?,Oreo,Miui,marshmallow,Nutella,0
"I like to twirl my body but keep my head up high, after I go in, everything becomes tight. What am I?",screw,whetstone,ruin,mess,0
"I like to twirl my body but keep my head up high, after I go in, everything becomes tight. What am I?",hammer,whetstone,ruin,screw,3
"Without fingers, I point. Without arms, I strike. Without feet, I run. What am I?",clock,ticking,spiral staircase,lamp,0
"Without fingers, I point. Without arms, I strike. Without feet, I run. What am I?",spiral staircase,timeout,ticking,clock,3
"I often fall, but I never get hurt.  I can bend over backwards, but rarely break.  I arrive free of charge .but often leave for a fee.  What am I?",hair,eyebrows,beard,dandruff,0
"I often fall, but I never get hurt.  I can bend over backwards, but rarely break.  I arrive free of charge .but often leave for a fee.  What am I?",beard,wig,hair,eyebrows,2
"A structure with two occupants, sometimes one, rarely three. Break the walls, eat the boarders, then throw away me. What am I?",jelly,yogurt,banana,peanut,3
"A structure with two occupants, sometimes one, rarely three. Break the walls, eat the boarders, then throw away me. What am I?",banana,peanut,yogurt,avocado,1
"You have no control over me, I am not real, though sometimes you believe me, I come back every night, but am often forgotten, Though left alone, I will never become rotten, Sometimes I remind you of things yet to come, Sometimes, watching me, you do things you've never done, I rarely ever turn out to be true, Now I am done with this riddle for you. What am I?",asteroid,life goal,jupiter,dream,3
"You have no control over me, I am not real, though sometimes you believe me, I come back every night, but am often forgotten, Though left alone, I will never become rotten, Sometimes I remind you of things yet to come, Sometimes, watching me, you do things you've never done, I rarely ever turn out to be true, Now I am done with this riddle for you. What am I?",dream,nightmare,jupiter,asteroid,0
Packaged in a jar or perhaps a tub.Enjoyed from Wellington to Timbuktu. Although some may think I come from a nut.Nutritionists would know that I do not. Use me to form a delicious lunch slice.Tastier yet with my fruity topper. What am I?,peanut butter,broccoli,avocado,mayo,0
Packaged in a jar or perhaps a tub.Enjoyed from Wellington to Timbuktu. Although some may think I come from a nut.Nutritionists would know that I do not. Use me to form a delicious lunch slice.Tastier yet with my fruity topper. What am I?,broccoli,peanut butter,mayo,yogurt,1
"A bird that is: Nothing, Twice yourself, Fifty.",owl,bird,reptiles,eagle,0
"A bird that is: Nothing, Twice yourself, Fifty.",bird,owl,squirrel,eagle,1
I have three feet but can't walk; I tell you things but can't talk; Sometimes I bend but I'm mostly straight. I'm like a scale but can't tell your weight. What am I?,yardstick,barometer,benchmark,metric,0
I have three feet but can't walk; I tell you things but can't talk; Sometimes I bend but I'm mostly straight. I'm like a scale but can't tell your weight. What am I?,yardstick,metric,ruler,barometer,0
In your future and in your past.I come and go so senseless and fast.My purpose is unknown to all.Remembrance seems to drift then fall.I travel by night and fade by day.Because that is my common way,dreams,visions,asteroid,fantasies,0
In your future and in your past.I come and go so senseless and fast.My purpose is unknown to all.Remembrance seems to drift then fall.I travel by night and fade by day.Because that is my common way,dreams,jupiter,fantasies,asteroid,0
"I am 2 in 54, five letter word, I am known as wild and some say unpredictable. I can raise you victorious or drop you too failure? What am I?",helicopter,Batman,meteor,Joker,3
"I am 2 in 54, five letter word, I am known as wild and some say unpredictable. I can raise you victorious or drop you too failure? What am I?",Joker,helicopter,Bruce Wayne,Batman,0
"At night we fly, You better run. These winged creatures.Are not much fun!  They march and eat.And march and eat: If I were you.I'd watch my feet!  Feline spots.In the jungle blend: She's very fast so be cautious of her.As she's not your friend!  Now take our first and mix us around, What have you found?",cab,truck,desk,bookshelf,0
"At night we fly, You better run. These winged creatures.Are not much fun!  They march and eat.And march and eat: If I were you.I'd watch my feet!  Feline spots.In the jungle blend: She's very fast so be cautious of her.As she's not your friend!  Now take our first and mix us around, What have you found?",bus,cab,truck,desk,1
"Four letters form me quite complete, As all who breathe do show; Reversed, you'll find I am the seat Of infamy and woe. Transposed, you'll see I'm base and mean, Again of Jewish race; Transposed once more, I oft am seen To hide a lovely face. What are the five words?",live,who?,duh,lives,0
"Four letters form me quite complete, As all who breathe do show; Reversed, you'll find I am the seat Of infamy and woe. Transposed, you'll see I'm base and mean, Again of Jewish race; Transposed once more, I oft am seen To hide a lovely face. What are the five words?",live,who?,lives,vacation,0
"Imagine you are in the days of the dinosaurs, and one is chasing after you, about to eat you.  What do you do?",fun,impossible,easy,simple,2
"Imagine you are in the days of the dinosaurs, and one is chasing after you, about to eat you.  What do you do?",easy,stupid,fun,impossible,0
Croak is another word for what?,wanna,meteor,die,helicopter,2
Croak is another word for what?,meteor,die,wanna,kill,1
"sometimes i hang, sometimes im crusty, sometimes im bloody, and yellow. What am i?",pubic hairs,snot,boogers,gum,2
"sometimes i hang, sometimes im crusty, sometimes im bloody, and yellow. What am i?",snot,pubic hairs,toothbrush,boogers,3
Test Mars. What is the anagram word?,intelligent,Christmas,holiday,smartest,3
Test Mars. What is the anagram word?,smartest,Christmas,strongest,holiday,0
"Crimson I am born, yellow I dance, ebony I die. What am I?",lightning,flamethrower,fire,flammable,2
"Crimson I am born, yellow I dance, ebony I die. What am I?",blood,flamethrower,fire,flammable,2
"I can hold things together, And you have 20 of me, or so I hope. What am I?",nails,flammable,teeth,lightning,0
"I can hold things together, And you have 20 of me, or so I hope. What am I?",nails,teeth,hair,lightning,0
The moon is my father. The sea is my mother. I have a million brothers. I die when I reach land.,carriage,strike,phase,wave,3
The moon is my father. The sea is my mother. I have a million brothers. I die when I reach land.,wave,piston,carriage,strike,0
"What is as ancient as the Earth, but is new every month?",sun,asteroid,moon,jupiter,2
"What is as ancient as the Earth, but is new every month?",orbit,moon,asteroid,jupiter,1
Racers are asked to start these at NASCAR events.,drivetrain,engine,motor,radiator,1
Racers are asked to start these at NASCAR events.,engine,motor,drivetrain,piston,0
"A few hours ago in darkness, a long-way-walker made me his vitness. He told me storys of times long forgotten, from his home, that is now rotten.  He whispered the lovers softly promise, and the lonely mans bitter lost and miss. Silent he was all the time, keeping to my heard his gentle rime.  From above he came, silver on dark heavens name. He awaits me back when Lathanders eye goes to rest, when my eyes go from north to east, from south to west.  I think you have met him too, so what did he tell the eyes of you? God bless this lonely fellower on his endless journey of sorrow, cause his harbour sank in the ocean of past long time ago.",Fluttershy,Starlight,sky,moon,1
"A few hours ago in darkness, a long-way-walker made me his vitness. He told me storys of times long forgotten, from his home, that is now rotten.  He whispered the lovers softly promise, and the lonely mans bitter lost and miss. Silent he was all the time, keeping to my heard his gentle rime.  From above he came, silver on dark heavens name. He awaits me back when Lathanders eye goes to rest, when my eyes go from north to east, from south to west.  I think you have met him too, so what did he tell the eyes of you? God bless this lonely fellower on his endless journey of sorrow, cause his harbour sank in the ocean of past long time ago.",moon,Twilight,Starlight,Fluttershy,2
"My love, when I gaze on thy beautiful face. Careering along, yet always in place, the thought has often come into my mind. If I ever shall see thy glorious behind.",sun,jupiter,moon,orbit,2
"My love, when I gaze on thy beautiful face. Careering along, yet always in place, the thought has often come into my mind. If I ever shall see thy glorious behind.",orbit,sun,asteroid,moon,3
"What is put on a table, cut, but never eaten?",T-rex,cards,49ers,decks,1
"What is put on a table, cut, but never eaten?",49ers,cards,cartoon,decks,1
Not a comb or a brush but makes the hair feel plush. What is it?,cologne,shampoo,dandruff,lotion,1
Not a comb or a brush but makes the hair feel plush. What is it?,lotion,shampoo,conditioner,dandruff,1
"What's taller than a thousand trees growing taller and taller by the season. It's yellow and orange and sometimes it's pink. It has no mind but often thinks. When it falls the world will crumble but not a human mind will be troubled. Laughing and smiling without voice joking and speaking without mouth. Up, up, up, it goes where it stops no man knows. Moving forever without being seen but whispering softly into the green. (the green stands for grass) What is it?",clouds,sunrise,sunset,dusk,2
"What's taller than a thousand trees growing taller and taller by the season. It's yellow and orange and sometimes it's pink. It has no mind but often thinks. When it falls the world will crumble but not a human mind will be troubled. Laughing and smiling without voice joking and speaking without mouth. Up, up, up, it goes where it stops no man knows. Moving forever without being seen but whispering softly into the green. (the green stands for grass) What is it?",dusk,clouds,sunset,beach,2
"I saw a fight the other day; A damsel did begin the fray. She with her daily friend did meet, then standing in the open street, she gave such hard and sturdy blows, he bled ten gallons at the nose; yet neither seemed to faint nor fall, nor gave her an abuse at all.",double barrel,tomatoes,pump,hose,2
"I saw a fight the other day; A damsel did begin the fray. She with her daily friend did meet, then standing in the open street, she gave such hard and sturdy blows, he bled ten gallons at the nose; yet neither seemed to faint nor fall, nor gave her an abuse at all.",double barrel,pump,rhubarb,hose,1
"What has a head, can't think, but drives?",axe,bolt,hammer,bow,2
"What has a head, can't think, but drives?",axe,hammer,bow,sword,1
"I with borrowed silver shine, What you see is none of mine. First I show you but a quarter, like the bow that guards the Tartar; Then the half, and then the whole, ever dancing around the pole; And true it is, I chiefly owe.my beauty to the shades below.  Who am I?",moon,sun,jupiter,orbit,0
"I with borrowed silver shine, What you see is none of mine. First I show you but a quarter, like the bow that guards the Tartar; Then the half, and then the whole, ever dancing around the pole; And true it is, I chiefly owe.my beauty to the shades below.  Who am I?",jupiter,sun,asteroid,moon,3
The weapon of choice to create the biggest shock.,handcuffs,weapon,stungun,pepper spray,2
The weapon of choice to create the biggest shock.,stungun,taser,handcuffs,pepper spray,0
"Every night at midnight, I go to the police station and get rid of all the crime finger-prints. If i'm not  criminal, then who am I?",smoother,cleaner,nicer,impossible,1
"Every night at midnight, I go to the police station and get rid of all the crime finger-prints. If i'm not  criminal, then who am I?",cleaner,smoother,impossible,simple,0
It's a bird! It's a plane! It's a musician! What is it?,Piper,Carl,Frank,Beth,0
It's a bird! It's a plane! It's a musician! What is it?,Carl,Piper,raven,Beth,1
"I point figures out but haven't a finger. I have hands but can carry nothing. Many rely on me to stay in order, But few ever yield me proper reverence. What am I?",ticking,lamp,clock,spiral staircase,2
"I point figures out but haven't a finger. I have hands but can carry nothing. Many rely on me to stay in order, But few ever yield me proper reverence. What am I?",clock,spiral staircase,timeout,ticking,0
"I only have one entrance, but you can come out with three exits. What am I?",dress,skirt,rabies,blouse,3
"I only have one entrance, but you can come out with three exits. What am I?",blouse,dandruff,dress,rabies,0
Uncle Brother Mother Cousin,Christmas,family,mother,holiday,1
Uncle Brother Mother Cousin,holiday,Christmas,mom,family,3
The restraining hand It keeps us from going From doing horrible things Hard to live with What is it?,regret,guilt,anger,resentment,1
The restraining hand It keeps us from going From doing horrible things Hard to live with What is it?,guilt,jealousy,anger,regret,0
What has hands but can not clap?,timeout,spiral staircase,lamp,clock,3
What has hands but can not clap?,timeout,clock,spiral staircase,ticking,1
"My first may end a game when it depletes.My second, a written contract completes.My whole indicates the number of beats. What am I?",time signature,spiral staircase,chord progression,song structure,0
