riddle,choice0,choice1,choice2,choice3,(index of correct choice)
"Wheresoever I may be, Every man must follow me; He must go where I may lead, Though it be to change his creed. Though I vary in my size, I am still beneath your eyes; and though you may go astray, I must ever lead the way. Every creature in the land, Has me close at his command, For I lead to things unseen, By my properties so keen. What am I?",forehead,lips,nose,throat,2
"Wheresoever I may be, Every man must follow me; He must go where I may lead, Though it be to change his creed. Though I vary in my size, I am still beneath your eyes; and though you may go astray, I must ever lead the way. Every creature in the land, Has me close at his command, For I lead to things unseen, By my properties so keen. What am I?",throat,chin,nose,lips,2
Carriage Bottlae Diaper Rattle,baby,daughter,Atlantic,fetus,0
Carriage Bottlae Diaper Rattle,baby,Atlantic,fetus,highway,0
How many days in a week start with the letter T?,eight,three,four,six,2
How many days in a week start with the letter T?,eight,four,six,five,1
"Use me to get from point A to point B, To bind yourself to another for eternity, When it all goes wrong it's because of me, Houston, we have a problem, technically. What am I?",axle,winch,hitch,comma,2
"Use me to get from point A to point B, To bind yourself to another for eternity, When it all goes wrong it's because of me, Houston, we have a problem, technically. What am I?",hitch,hyphen,axle,winch,0
What named itself?,comma,brain,hyphen,serotonin,1
What named itself?,neurons,brain,hyphen,comma,1
"A father and son were in a car accident where the father was killed. The ambulance brought the son to the hospital. He needed immediate surgery. In the operating room, a doctor came in and looked at the little boy and said I can't operate on him he is my son. Who is the doctor?",sister,mother,aunt,mom,1
"A father and son were in a car accident where the father was killed. The ambulance brought the son to the hospital. He needed immediate surgery. In the operating room, a doctor came in and looked at the little boy and said I can't operate on him he is my son. Who is the doctor?",husband,mother,sister,aunt,1
My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,wol,sunset,sky,cloud,3
My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,sky,sunset,cloud,terra,2
I am a bringer and take of life.,ocean,grape,sediment,water,3
I am a bringer and take of life.,cucumber,grape,ocean,water,3
"""What does ""L8R"" stand for?""",eventually,soon,later,before,2
"""What does ""L8R"" stand for?""",sooner,soon,eventually,later,3
When I go to the beach.I am found. When I go in the water I am smooth.What am I?,pants,mud,shoe,sand,3
When I go to the beach.I am found. When I go in the water I am smooth.What am I?,shoe,sand,rocks,mud,1
"I can be written, I can be spoken, I can be exposed, I can be broken.",suggestion,news,skills,wisdom,1
"I can be written, I can be spoken, I can be exposed, I can be broken.",skills,news,suggestion,headlines,1
