riddle,choice0,choice1,choice2,choice3,(index of correct choice)
What musical instruement would you use to catch a fish?,skull,skeleton,saxophone,castanets,3
What musical instruement would you use to catch a fish?,bagpipes,skull,castanets,skeleton,2
Cotingas Pardalotes Tapaculos Asities,primates,passerines,starlings,reptiles,1
Cotingas Pardalotes Tapaculos Asities,ground squirrels,passerines,starlings,reptiles,1
"I grow in the dark and shine in the light; The paler I am, the more I am liked; My maker never gets paid, but never goes on strike. What am I?",steven,skull,pearl,skeleton,2
"I grow in the dark and shine in the light; The paler I am, the more I am liked; My maker never gets paid, but never goes on strike. What am I?",pearl,steven,skull,rebecca,0
Born in a shell I adorn your neck. What am I?,rebecca,skull,steven,pearl,3
Born in a shell I adorn your neck. What am I?,skull,skeleton,pearl,steven,2
I start with an e and end with an e. I have whole countries inside of me. What am I?,Asia,Europe,Sweden,North America,1
I start with an e and end with an e. I have whole countries inside of me. What am I?,Europe,North America,Africa,Sweden,0
"Sometimes I glitter, but more often not.I'm usually cold but may be hot.Some find my protection great.While others may die beneath my weight",valley,stone,concrete,Florida Keys,1
"Sometimes I glitter, but more often not.I'm usually cold but may be hot.Some find my protection great.While others may die beneath my weight",wood,stone,valley,Florida Keys,1
Unnaided you cannot see me Yet I am always there I am always the same Yet I change with time Sometimes in decades Sometimes in minutes I can be pride and joy Yet despair and failure You can try to compare  But never find someone like me What am I?,estate,face,mouth,eyes,1
Unnaided you cannot see me Yet I am always there I am always the same Yet I change with time Sometimes in decades Sometimes in minutes I can be pride and joy Yet despair and failure You can try to compare  But never find someone like me What am I?,face,estate,defendant,mouth,0
Always a part. Never a whole. If only half grows I shrink. What am I?,pittance,dime,fraction,third,2
Always a part. Never a whole. If only half grows I shrink. What am I?,pittance,third,fraction,percent,2
"Hidden in the poem below, a female's name you'll seek; just read and listen to the rhyme, but please, don't take a week! MYSTERY POEM: A pig that is not dirty, I might just one day see; but pigs and soap suds do not mix, in bathtub history! What is the female name you hear?",daisy,betty,luigi,Sophie,0
"Hidden in the poem below, a female's name you'll seek; just read and listen to the rhyme, but please, don't take a week! MYSTERY POEM: A pig that is not dirty, I might just one day see; but pigs and soap suds do not mix, in bathtub history! What is the female name you hear?",daisy,betty,luigi,Simon,0
"If you're worried that grandpa will bite, just remove these.",gravity,dentures,braces,gums,1
"If you're worried that grandpa will bite, just remove these.",gravity,yardstick,dentures,braces,2
