questions,answers,Gpt
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.,"option : A shoelace, option : A necklace, option : A scarf"
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.,"option : A cow-tree, option : A fish-tree, option : A vegetable-tree"
What animal can jump higher than a tree?,All of them! Trees can't jump.,"option : Giraffe, option : Kangaroo, option : Squirrel"
What did the bat say to his date?,"""You are fun to hang out with.""","option : ""You're a real night owl."", option : ""I'm batty for you."", option : ""Let's fly away together."""
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand.","option : ""I'm ink-love with you, you, you, you, you, you, you, you.""
option : ""You octopi my thoughts, thoughts, thoughts, thoughts, thoughts, thoughts, thoughts, thoughts.""
option : ""I'm tentacled by your beauty, beauty, beauty, beauty, beauty, beauty, beauty, beauty."""
"Skunks never skip Valentine's Day, but why?",They are rather scent-imental.,"option : ""They are allergic to flowers."", option : ""They enjoy the smell of roses."", option : ""They have a secret admirer."""
One of Santa's reindeer also works on Valentine's Day? Which one?,Cupid.,"option : Dasher, option : Prancer, option : Vixen"
"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?",Newly webs.,"option : ""Honeymooners"", option : ""Spiderlings"", option : ""Arachnid lovebirds"""
What does a snake couple do as they say goodbye?,They give a hiss on the cheek to each other.,"option : They slither away from each other, option : They shed their skin together, option : They coil around each other"
What does the boy bird call his darling?,Tweetheart.,"option : Lovebird, option : Feathered sweetheart, option : Chirpkin"
What do you call a couple of Italian ants?,Romance.,"option : Pasta, option : Pizza, option : Gelato"
"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.,"option : A bee, option : A bird, option : A squirrel"
"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?",A worm.,"option : A snake, option : A caterpillar, option : A centipede"
A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear.","option : The bear is black. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where black bears are common.
option : The bear is brown. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where brown bears are common.
option : The bear is gray. Since all the walls of the house are facing south, it can be assumed that the house is located in a region where gray bears are common."
"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?",A flea.,"option : A spider, option : A mosquito, option : A tick"
"A raven, a monkey, and a squirrel are all racing to the top of a coconut tree. Which animal will get the banana?","No one, because there are no bananas on a coconut tree!","option : The raven, option : The monkey, option : The squirrel"
Two silkworms started a fight. How did it end?,In a tie!,"option : ""They both got tangled up"", option : ""One of them won"", option : ""They made peace"""
What animal can lend you a buck?,A deer (male deer are called bucks).,"option : A horse, option : A rabbit, option : A squirrel"
