questions,answers
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
What animal can jump higher than a tree?,All of them! Trees can't jump.
What did the bat say to his date?,"""You are fun to hang out with."""
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand."
"Skunks never skip Valentine's Day, but why?",They are rather scent-imental.
One of Santa's reindeer also works on Valentine's Day? Which one?,Cupid.
"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?",Newly webs.
What does a snake couple do as they say goodbye?,They give a hiss on the cheek to each other.
What does the boy bird call his darling?,Tweetheart.
What do you call a couple of Italian ants?,Romance.
"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.
"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?",A worm.
A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear."
"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?",A flea.
"A raven, a monkey, and a squirrel are all racing to the top of a coconut tree. Which animal will get the banana?","No one, because there are no bananas on a coconut tree!"
Two silkworms started a fight. How did it end?,In a tie!
What animal can lend you a buck?,A deer (male deer are called bucks).
"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?",Because of their fowl language.
"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?",The window was closed.
Why did the fish blush?,It saw the ocean's bottom.
"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?",A turkey.
What happens when you're shaving a looney sheep?,Shear madness.
What do you call a cow sucked up by a tornado?,A milkshake.
I always sleep with my shoes on.What am I?,A horse.
What do you call a cow spying on another cow?,A steak out.
"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?",A squirrel.
What is the first animal in space?,The cow that jumped over the moon.
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.
"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?",A platypus.
What steps must you take when you notice a tiger running toward you?,Big ones!
Why is it so difficult for the leopard to hide?,Because it's always spotted.
"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?",A snake.
