,question,answer,a,b,c
0,1 duck saw 4 elephants as it was going toward the river.Every elephant noticed 2 monkeys going to the river.Every monkey was carrying 1 dove in its paws.How many animals are going to the river?,"Five animals are moving toward the river.Here's a detailed answer:1 duck noticed 4 elephants as it was going toward the river. Hence, 1 animal (the duck) is moving to the river.The 4 elephants saw 2 monkeys going walking toward the river. Now comes the tricky part. You may think that each elephant saw 2 different monkeys walking toward the river. So you would conclude that 4 x 2 = 8 monkeys were going to the river.However, the task does not explicitly say that each elephant saw DIFFERENT monkeys. In fact, you can logically infer that the elephants saw the SAME 2 monkeys. Hence, we only have 2 additional animals (monkeys) moving toward the river.Since every monkey was carrying 1 dove, the 2 monkeys were carrying 2 doves in total.Summing up, we have 1 duck, 2 monkeys, and 2 doves moving to the river. 1 + 2 + 2 = 5 animals.",Three animals are moving toward the river.,Seven animals are moving toward the river.,Four animals are moving toward the river.
1,123 = 04235 = 0656 = 25390 = 28890 = 61001 = 219235 = 1What is 123456789?,4.You count the closed circles in each number on the left side. so 656 has 2 (the closed circles of the 6s).,3,5,6
2,"2, 3, 5, 9, 17, _ What is the next number in the sequence?",33 - The pattern is that each number is double the previous minus 1.,31,35,41
3,"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan.","He can propose a plan where he gets 90 pieces of gold, the 3rd pirate gets 5 pieces, and the 5th pirate gets 5 pieces. This way, he still gets the majority of the gold while appeasing the other pirates.","He can propose a plan where he gets 95 pieces of gold, the 3rd pirate gets 2 pieces, and the 5th pirate gets 2 pieces. This way, he maintains a larger share of the gold while giving a small portion to the other pirates.","He can propose a plan where he gets 97 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 piece. This way, he keeps the majority of the gold while still giving a minimal amount to the other pirates."
4,"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan.","He can propose a plan where he gets 90 pieces of gold, the 3rd pirate gets 5 pieces, and the 5th pirate gets 5 pieces. This way, he still gets the majority of the gold while appeasing the other pirates.","He can propose a plan where he gets 95 pieces of gold, the 3rd pirate gets 2 pieces, and the 5th pirate gets 2 pieces. This way, he still gets the majority of the gold while giving a slightly larger share to the other pirates.","He can propose a plan where he gets 97 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 piece. This way, he still gets the majority of the gold while giving a minimal share to the other pirates."
5,"5 pirates are parting ways after finding a treasure of 100 pieces of gold. The pirates decide to split it based on a vote. Each pirate, from oldest to youngest, gets to propose a plan on how to split the gold.If at least 50 percent of the other remaining pirates agree on the plan, that is how they will split the gold. If less than 50 percent of the pirates agree, the pirate who came up with the plan will be thrown overboard. Each pirate is smart, greedy, and wants to throw as many others overboard as possible without reducing the amount of gold they get.What plan can the first (oldest) pirate propose to live and get as much gold as possible?","He can propose a plan that he gets 98 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 as well.If there were just 2 pirates the younger pirate would definitely deny the plan so he could get all of the gold.If there were 3 pirates the first pirate can offer the second pirate 1 piece of gold and take the rest himself because the second pirate wouldn't get anything if he has to propose a plan himself.If there were 4 pirates the first pirate could take 99 for himself and offer 1 to the youngest pirate. They would both agree. If the youngest disagrees then he won't get any gold in the next plan.So when there are 5 pirates it is in the interest of the 3rd and 5th pirate to accept 1 piece, because if they don't they won't get anything in the next plan.","He can propose a plan where he gets 90 pieces of gold, the 3rd pirate gets 5 pieces, and the 5th pirate gets 5 pieces. This way, he still gets the majority of the gold while appeasing the other pirates.","He can propose a plan where he gets 95 pieces of gold, the 3rd pirate gets 2 pieces, and the 5th pirate gets 2 pieces. This way, he maintains a larger share of the gold while giving the other pirates a small portion.","He can propose a plan where he gets 97 pieces of gold, the 3rd pirate gets 1 piece, and the 5th pirate gets 1 piece. This way, he keeps the majority of the gold while still giving a small amount to the other pirates."
6,81 x 9 = 801. What must you do to make the this equation true?,Turn it upside down.108 = 18 x 6,81 x 9 = 810,81 x 9 = 891,81 x 9 = 918
7,"A beggar's brother died, but the man who died had no brother.How could this be?",The beggar was a woman,The beggar's brother was actually his sister,The beggar's brother was adopted,The beggar's brother was a figment of his imagination
8,"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?",The river was frozen.,The cat used a hidden underground tunnel.,The cat had a secret teleportation power.,The cat walked on a series of floating logs.
9,"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?",The river was frozen.,The cat used a hidden underground tunnel.,The cat had a secret teleportation power.,The cat flew across the river using its magical wings.
