questions,answers
What is more rewarding when it is hard and long?,An education.
What do you call an unsinkable virgin?,A cherry float.
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.
"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?",A newspaper delivery person.
I work with briefs and I'm amazing when using my mouth. What am I?,A lawyer.
Why is a happy sex life like a good steak?,Because it's rare!
Set me to vibrate when you want some alone time. What am I?,A cell phone.
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.
I absolutely love holding your buns all day. What am I?,A hair tie.
I drip when you take me in the mouth. What am I?,Ice-cream.
What gets wetter when things get steamy?,Steamboats.
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.
"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.
"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.
What do men keep in their pants that their partners sometimes blow?,Money.
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.
What is super hard and goes into a tiny hole?,A key.
You have to blow it to play with it. What is it?,A balloon.
What's long and hard and has the word 'cum' in it?,A cucumber.
"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.
What do you insert in a small hole and twist all the way around?,A Q-tip.
You can't taste it unless you undress it. What is it?,A banana.
You play with it at night and it vibrates. What is it?,A cell phone.
"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.
"I go in hard, come out soft, and you love to blow me. What am I?",Chewing gum.
I am always hard when dry but smooth and soft when wet. What am I?,Sponge.
What's long and hard when it's young and soft and small when it's old?,A candle.
What does a woman have two of that a cow has four of?,Legs.
"What's white, sticky, and better to spit than to swallow?",Toothpaste.
"What's made of rubber, handed out at some schools, and exists to prevent mistakes?",Erasers.
I'm great for protection. You use your fingers to get me off. What am I?,Gloves.
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.
"What's beautiful and natural, but gets prickly if it isn't trimmed regularly?",The lawn.
"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?",A crane.
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.
"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?",Popcorn.
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.
All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,An elevator.
"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?",A fork.
"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?",Your nose.
"What's a four-letter word that ends in ""k"" and means the same as intercourse?",Talk.
What is more rewarding when it is hard and long?,An education.
What do you call an unsinkable virgin?,A cherry float.
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.
"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?",A newspaper delivery person.
I work with briefs and I'm amazing when using my mouth. What am I?,A lawyer.
Why is a happy sex life like a good steak?,Because it's rare!
Set me to vibrate when you want some alone time. What am I?,A cell phone.
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.
I absolutely love holding your buns all day. What am I?,A hair tie.
I drip when you take me in the mouth. What am I?,Ice-cream.
What gets wetter when things get steamy?,Steamboats.
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.
"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.
"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.
What do men keep in their pants that their partners sometimes blow?,Money.
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.
What is super hard and goes into a tiny hole?,A key.
You have to blow it to play with it. What is it?,A balloon.
