questions,answers
What month are trees scared of?,Sep-timber.
Who walks little pumpkins across the road to school?,The crossing gourd.
What did the ocean say to the ship's captain?,"Nothing, it just waved."
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.
How can you tell a dogwood tree apart from other trees?,By its bark.
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.
"When rain falls, does it ever get up again?","Yes, in dew time."
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.
What tree grieves the most?,The weeping willow.
What animal can jump higher than a tree?,All of them! Trees can't jump.
I have lots of bark but no bite. What am I?,A tree.
What did the bat say to his date?,"""You are fun to hang out with."""
"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?",Chocolate.
What did the walnut say as he was proposing to the almond?,"""I am nuts about you."""
"It could be delivered by mail, email, by hand, or even by pigeon.It is sometimes short, sometimes lengthy, and with deep, profound, or simple feelings.What is it?",A love letter.
Lipsticks come in this colorAnd some ladybugs as well.And on Valentine's DayThis color roses many shops sell.What color is it?,Red.
"I have wings, but I'm no bird.I have a bow and arrow, but I'm not Robin Hood.I'm a Roman god, but I'm not Jupiter.I look like a toddler, but I need no diaper.My image expresses love, but I'm not a heart.Who am I?",Cupid.
"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.
"I come in many shades: red, pink, yellow, orange, or white; but I'm not a crayon.I'm fragrant, but I'm not perfume.People put me in water, but I'm not dirty laundry.I have a stem, but I'm not a wine glass.People gift me on Valentine's day, but I'm not a stuffed animal.What am I?",A rose.
What did one train say to his sweetheart on Valentine's day?,I choo-choo-choose you!
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand."
What did one lightbulb say to the other lightbulb on Valentine's day?,I love you watts and watts.
What did one oar say to the other on Valentine's day?,How about a little row-mance?
What do you call a rather small Valentine?,A valentiny.
What did the chocolate sauce confess to the ice cream?,I'm sweet on you.
What did the envelope say to the stamp on Valentine's Day?,I'm stuck on you.
"A truck driver and a doctor fell in love with the same woman. The truck driver had to go on a weekend trip. Before leaving, he gave the woman 2 apples. Why?",Because an apple a day keeps the doctor away!
"Artichokes are considered to be the most loving vegetable, but why?",They have hearts.
One of Santa's reindeer also works on Valentine's Day? Which one?,Cupid.
What flower sounds very kissable?,Tulips.
"I'm tiny but quite expensive. But when you use me, all I do is hang and sparkle.What Valentine's Day gift am I?",Earrings.
"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.
"I can make you happy, I can make you cry. I can make you want me, but I can also drive people to madness.What am I?",Love.
Did Adam and Eve ever have a date?,"No, but they surely had apples."
"When I'm lost, I hurt the most, as well as when not had at all. I'm often hard to express and easy to ignore. You can give me to just one person, or to many. What am I?",Love.
"I can be clogged, and I can break. I can be given but also kept. I can be crushed or be made whole. What am I?",A heart.
"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?",A worm.
Two silkworms started a fight. How did it end?,In a tie!
What animal can lend you a buck?,A deer (male deer are called bucks).
"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?",Because of their fowl language.
Why did the fish blush?,It saw the ocean's bottom.
"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?",A turkey.
What happens when you're shaving a looney sheep?,Shear madness.
What do you call a cow sucked up by a tornado?,A milkshake.
I always sleep with my shoes on.What am I?,A horse.
What do you call a cow spying on another cow?,A steak out.
"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?",A squirrel.
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.
"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?",A platypus.
What steps must you take when you notice a tiger running toward you?,Big ones!
Why is it so difficult for the leopard to hide?,Because it's always spotted.
"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?",A snake.
"I live on a farm and I'm pink.I'm famous for saying ""oink...oink.""Come near me, and you'll realize I stink.What am I?",A pig.
"My arms are longer than my legs, and I can be taught sign language to communicate with humans.What am I?",A gorilla.
I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,A zebra.
"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?",The river was frozen.
What kind of can doesn't need a can-opener?,A pelican.
"I'm a pet with cute ears, four legs, and a tail at the end.You surely heard me barking. I'm known as man's best friend.What am I?",A dog.
"Some are afraid of this creature,Because it has a large bite.So be careful out in the ocean,One of its kin is a Great White.What is it?",A shark.
"Throughout the day I rest and sleep.At night, I fly and hunt.I have no feathers on my wings,Nor do I chirp or grunt.What am I?",A bat.
I am named after the animal I eat.What am I?,An anteater.
"Imagine the following: you are walking through the woods and a huge bear is going to attack you. You are running for your dear life, but he is getting closer and closer...How can you escape from the bear?",Quit imagining.
What did the duck say to the rooster as he dared him to a fight?,Are you chicken?
"The dog was wearing a 2-foot leash. When he saw a squirrel, he immediately started chasing it, and he was really able to catch the squirrel.How did the dog succeed?",The leash was not tied to anything.
This is a type of animalKnown for its long face.It's very good at runningSo people ride it in a race.,A horse.
Why did the silly dog swim down the rapids?,"Because he likes ""ruff"" waters!"
"You've got a sack of corn, a chicken, and a fox. You have to cross a river, but you can only carry them one at a time. If you leave the chicken with the sack of corn, the chicken will eat the corn. If you leave the fox alone with the chicken, the fox will eat the bird.How can you get all three things across the river safely?","Cross the river with the chicken, then go back and carry the corn over the river. However, instead of leaving the corn with the bird, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the sack of corn, and return for the last time to get the chicken. Done!"
What do you call a three-humped camel?,Pregnant.
"You enter a room and notice a bed. There are 3 dogs, 2 cats, 1 goat, 4 crows, and a goose on the bed. In addition, 3 sparrows are flying around the bed.How many LEGS are there on the floor?",There are 6 legs on the floor.
"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?",A shark.
"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?",A cow.
"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?",A fish.
"I sizzle like bacon, but I hatched from an egg,I expand when I eat, and I have no legs.What am I?",A snake.
"I have got a crown like a king, but I'm a disgrace when I sing.There are fewer eyes on my face than my tail, but only when I'm a male.What am I?",A peacock.
"I'm the opposite of a dog, but I'm not a god.I move my tail when I'm mad and growl when I'm pleased.What am I?",A cat.
I feed on leaves from treetops but my feet never leave the earth.What am I?,A giraffe.
"I go to school all my life, and I never leave the water, even though I breathe air. What am I?",A dolphin.
"I often join you at parties and holidays, but I never get to enjoy them.What am I?",A turkey.
I grow from egg to fish to creature.I burp when I talk and I jump when as I walk.What am I?,A frog.
I have black circles around my eyes - even when I'm not exhausted.What am I?,A panda.
"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?",A dove.
"A prickly house a little host contains.The pointed weapons keep back from pains,So he, unarmed, safe in his fort remains.Who is he?",A hedgehog.
What can honk without a horn?,A goose.
"I am an insect, and the first part of my name is another insect.What insect am I?",A beetle.
"Oh, how I love my dancing feet!They stay together - oh so neat.And when I want to walk a line,They all stay together and do double time.I count them up, ten times or more,And race on-off, across the floor.",A centipede.
"It can be in a hat,Or out of the bag.If you see it you'll be smitten,'Cause it's fluffy like a mitten.What is it?",A cat.
"It's small but larger than a bee,And agile as a flea.It hums but does not buzz,And it's not covered with fuzz.It is a small collectorOr juicy flower nectar,What is it?",A hummingbird.
"It can be white, blue, or black,Humped or have a horn.And when it talks, it sings its minuets,As it's traveling the depths.What is it?",A whale.
"The cow is my cousin.If you see my name, you'll understand why.What am I?",A moose.
"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?",A turtle.
"I hang upside-down on trees.I'm the opposite of busy bees.I sleep and sleep, I'm very slow, and on each footI have three toes.What am I?",A sloth.
"I am both a bird and a kind of fruit, and I can even be a person.What am I?",Kiwi.
"You say ""hey."" I'll eat it.I say ""neigh.""What am I?",A horse.
"My start goes on toast, and my end's how birds move.My baby eats leaves, whereas I drink flowers.",Butterfly.
"I walk on silken strings and catch all sorts of things.When you find my home, I am gone.What am I?",A spider.
"My field of vision is 270 degrees, and I'm quiet and sneaky like a ninja when I hunt for my prey.What bird am I?",An owl.
"I was born small and pink, but then I grew big and black and white.I'm lazy to cook, so all I eat is bamboo.What animal am I?",A panda.
"I've got horns, but I can't honk.Instead, I bleat, but I'm no sheep.What am I?",A goat
"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?",A lion.
"I live in a den, and I wear a furry suit.I like to eat fish, but also berries and fruit.I love honey more than you do.What animal am I?",A bear.
"I wear a tuxedo when I'm swimming, and I slide on my tummy across the ice.What am I?",A penguin.
"I have a lump or two on my back, and I live in the sand.I'm tough and I'll carry you over the land.What am I?",A camel.
"I'm spotty and swift, but I'm no leopard.And no one wants to play cards with me.What am I?",A cheetah.
The alphabet starts with A and ends in Z. I go the other way around.What am I?,A zebra.
"It takes me a couple of weeks to digest what I eat, and I'm never in a hurry.What am I?",A sloth.
"You may find me cute, but I'm too big for a pet.I have a long trunk, and I never forget.What am I?",An elephant.
"You throw me away, I find my way back; Traditionally I'm wooden, With an arch in my back. What am I?",A Boomerang.
"A murderer is condemned to death. He has to choose between three rooms. The first is full of raging fires, the second is full of assassins with loaded guns, and the third is full of lions that haven't eaten in 3 years. Which room is safest for him?",The third. Lions that haven't eaten in three years are dead.
"Inside me the adventurous findQuests and treasures of every kind.Trolls, goblins, orcs, and more, awaitWithin my closed walls forAll those that wish to visit me.Your hands are the keyTo secrets untold,And your mind will unlock the door.What am I?",A book.
"A thousand colored folds stretch toward the sky,Atop a tender strand,Rising from the land,'Til killed by maiden's hand,Perhaps a token of love, perhaps to say goodbye.What am I?",A flower
"One winter day, there was a man standing in the middle of someone's front yard. The person stayed there for several weeks without moving and the owner of the yard didn't mind. Eventually, the man left. Who was he?",A snowman.
"There were three men swimming in the sea. When the coastguard called them into the beach, only two of the men had wet hair. Why?",The third man was bald.
"A crime was committed in the middle of a forest, which left the police stumped. Who did it?",Probably a tree
Why did a woman call the police over a man who knocked on her door and claimed that he thought the room was his?,"If it was his room, he wouldn't have knocked."
Why was the detective's wife furious when he arrived home at 9:30 when he said he'd arrive home at 9:30?,"Because she thought it would be 9:30 PM, and he turned up at 9:30 AM!"
A killer told a detective that he would commit his next crime in the only place in Paris where you couldn't see the Eiffel Tower. How did the detective end up catching him?,The criminal was hiding in the Eiffel Tower itself.
"Anyone can hold me, even without their hands, yet no one can do it for long.What am I?",Your breath.
What kind of chemical element hates to be a follower?,Lead
I like to roam but always stay home. If you carried what I carried you'd break your back. What am I?,A snail.
I am occasionally associated with smelly things. What state of matter am I?,Gas
I am three-quarters of the universe and almost nothing is known about me. What am I?,Dark matter.
What kind of pig knows martial arts?,A Pork Chop
What do snowmen eat for breakfast?,Snowflakes.
What is a Cheerleader's favorite food?,Cheerios.
I can be chewed but should not be swallowed or eaten and always get thrown away. What am I?,Gum
"When the waiter handed him the check at the end of the meal, what did the duck say?",I already have a bill.
I am the favorite fruit of computer nerds. Who am I?,Apple
What is the tastiest kind of money?,Dough-nut
What goes up when the rain comes down?,An umbrella.
"If you hit me hard, I might crack. But you'll never stop me from staring back. What am I?",A mirror
Where do fat cows go on vacation?,Moo York.
How do Easter bunnies travel?,By HAREplanes.
How do fall leaves travel from one place to another?,With autumn-mobiles.
Where do pianists go on vacation?,The Florida Keys
What's the cheapest way to travel the world?,By Sale boat
"They are dark and on the run, but without sun there will be none. What are they?",Shadows.
"I love sugars and treats, I am a little critter and I sound a lot like your Mom and Dad's sister. What am I?",An ant.
This amazing ancient invention allowed people to see straight through walls. What was it?,The window.
"What runs all around a backyard, yet never moves?",A fence.
"He has married many women, but has never been married. Who is he?",A Priest
"What has six faces, but does not wear makeup, has twenty-one eyes, but cannot see?",A Die (dice)
You live in a one story house made entirely of redwood. What color would the stairs be?,What stairs? You live in a ONE STORY house.
"This city might as well be called: ""Wander.""",Rome (Italy)
What can you see in the middle of March and April that you can never see in any other month?,The letter R.
What must you break before you can use it?,An egg.
"t has a long neck, A name of a bird, Feeds on cargo of ships, It's not alive,What is it?",A crane.
How do you make 7 even?,Remove the S!
Why can an elephant go to the swimming pool at any time?,Because they always have their trunk!
"This riddle is from the 5th Harry Potter movie and book, so if you've read or seen them, please skip to the next riddle!""First think of the personwho lives in disguise,who deal in secrets and tells naught but lies.Next, tell me what's alwaysthe last thing to mend,the middle of middle andend of end? And finally,give me the sound often heardDuring the search for a hard-to-find word.Now string them together, and answer me this,Which creature would you be unwilling to kiss?""",A Spider.
