questions,answers
What is more rewarding when it is hard and long?,An education.
What do you call an unsinkable virgin?,A cherry float.
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.
"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?",A newspaper delivery person.
I work with briefs and I'm amazing when using my mouth. What am I?,A lawyer.
Why is a happy sex life like a good steak?,Because it's rare!
Set me to vibrate when you want some alone time. What am I?,A cell phone.
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.
I absolutely love holding your buns all day. What am I?,A hair tie.
I drip when you take me in the mouth. What am I?,Ice-cream.
What gets wetter when things get steamy?,Steamboats.
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.
"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.
"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.
What do men keep in their pants that their partners sometimes blow?,Money.
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.
What's long and hard and has the word 'cum' in it?,A cucumber.
"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.
What do you insert in a small hole and twist all the way around?,A Q-tip.
You can't taste it unless you undress it. What is it?,A banana.
You play with it at night and it vibrates. What is it?,A cell phone.
"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.
What's long and hard when it's young and soft and small when it's old?,A candle.
What does a woman have two of that a cow has four of?,Legs.
"What's white, sticky, and better to spit than to swallow?",Toothpaste.
"What's made of rubber, handed out at some schools, and exists to prevent mistakes?",Erasers.
I'm great for protection. You use your fingers to get me off. What am I?,Gloves.
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.
"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?",A crane.
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.
"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?",Popcorn.
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.
All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,An elevator.
"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?",A fork.
"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?",Your nose.
"What's a four-letter word that ends in ""k"" and means the same as intercourse?",Talk.
What month are trees scared of?,Sep-timber.
Who walks little pumpkins across the road to school?,The crossing gourd.
What did the ocean say to the ship's captain?,"Nothing, it just waved."
What does a tree do when it gets homesick?,It leaves.
When do the leaves begin to turn?,The night before a test.
How can you tell a dogwood tree apart from other trees?,By its bark.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
"When rain falls, does it ever get up again?","Yes, in dew time."
What animal can jump higher than a tree?,All of them! Trees can't jump.
I have lots of bark but no bite. What am I?,A tree.
What did the bat say to his date?,"""You are fun to hang out with."""
What did the walnut say as he was proposing to the almond?,"""I am nuts about you."""
"If you greet a couple on Valentine's Day with ""Happy Valentines Day,"" how would you greet a single person on February 14?",Happy Independence Day!
What did February 14 say to February 1?,"""I heard you're single."""
What did one train say to his sweetheart on Valentine's day?,I choo-choo-choose you!
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand."
"Skunks never skip Valentine's Day, but why?",They are rather scent-imental.
How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me."""
What did one lightbulb say to the other lightbulb on Valentine's day?,I love you watts and watts.
What did one oar say to the other on Valentine's day?,How about a little row-mance?
What do you call a rather small Valentine?,A valentiny.
What did the chocolate sauce confess to the ice cream?,I'm sweet on you.
What did the envelope say to the stamp on Valentine's Day?,I'm stuck on you.
"A truck driver and a doctor fell in love with the same woman. The truck driver had to go on a weekend trip. Before leaving, he gave the woman 2 apples. Why?",Because an apple a day keeps the doctor away!
One of Santa's reindeer also works on Valentine's Day? Which one?,Cupid.
What flower sounds very kissable?,Tulips.
