questions,answers
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.
When do the leaves begin to turn?,The night before a test.
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.
What man cannot live inside the house?,A snowman.
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.
"What is it that anyone can divide, but no one can see where it is divided?",Water.
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.
"There's a bridge in a hollowAnd a hundred cross itNo mason, no blacksmith, nor carpenter built it.What is it?",A frozen river.
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"A thousand colored folds stretch toward the sky,Atop a tender strand,Rising from the land,'Til killed by maiden's hand.Perhaps, as a token of love.Perhaps, to say goodbye.What is it?",A flower.
"My love, when I gaze on thy beautiful face,Careering along, yet always in place -The thought has often come into my mindIf I ever shall see thy glorious behind.",The moon.
"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.
"I'm gentle enough to soothe your skin,Light enough to fly through the sky,Strong enough to crack rocks.What am I?",Water.
"I can fly but have no wings,I can cry but have no eyes,Wherever I go, darkness follows me.What am I?",A cloud.
"What occurs once in a date, twice in Valentine's Day, and three times in everlasting love?",The letter E.
"If you greet a couple on Valentine's Day with ""Happy Valentines Day,"" how would you greet a single person on February 14?",Happy Independence Day!
What did February 14 say to February 1?,"""I heard you're single."""
"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.
Where does Easter come before Valentine's Day?,In the dictionary.
"Skunks never skip Valentine's Day, but why?",They are rather scent-imental.
How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me."""
What did the farmer give his girlfriend on Valentine's Day?,Hogs and kisses.
Who marries many times but always remains single?,A priest.
"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?",Newly webs.
"You'll see two of me at every wedding, but I am not a person.What am I?",A wedding ring.
How do you know that a wedding is really emotional?,Even the cake is in tiers.
"I have no finish line in sight, but you can break me. Once you have me, you are bound for life.What am I?",Marriage.
Why should you never fall in love with a pastry chef?,They may dessert you.
Why did the bank teller break up with her boyfriend?,She was losing interest.
What does a snake couple do as they say goodbye?,They give a hiss on the cheek to each other.
What part of the ocean is considered the most romantic?,"The place where the ""buoy"" meets the ""gull."""
What does the boy bird call his darling?,Tweetheart.
What did the magnet say to the paperclip?,I think you're very attractive.
How did the sculpture confess her love?,I love you with all of my art.
What do you call a couple of Italian ants?,Romance.
Why did the girl fall in love with the French chef?,He buttered her up!
"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.
A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear."
"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?",A flea.
"A raven, a monkey, and a squirrel are all racing to the top of a coconut tree. Which animal will get the banana?","No one, because there are no bananas on a coconut tree!"
"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?",The window was closed.
What is the first animal in space?,The cow that jumped over the moon.
