questions,answers
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What has roots that nobody sees,Is taller than trees,Up, up it goes,And yet never grows?",A mountain.
What falls but never breaks?,Dusk.
"What can be touched, but can't be seen?",Someone's heart.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
"I connect two people, but I touch only one.What am I?",A wedding ring.
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?","Birds, unlike humans, need gravity to swallow. Humans can swallow even while hanging upside down."
"A man went on a trip with a fox, a goose and a sack of corn. He came upon a stream which he had to cross and found a tiny boat to use to cross the stream. He could only take himself and one other - the fox, the goose, or the corn - one at a time. He could not leave the fox alone with the goose or the goose alone with the corn. How does he get all safely over the stream?",Take the goose over first and come back. Then take the fox over and bring the goose back. Now take the corn over and come back alone to get the goose. Take the goose over and the job is done!
