questions,answers
What did the bat say to his date?,"""You are fun to hang out with."""
"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?",Chocolate.
"What occurs once in a date, twice in Valentine's Day, and three times in everlasting love?",The letter E.
What did the walnut say as he was proposing to the almond?,"""I am nuts about you."""
"If you greet a couple on Valentine's Day with ""Happy Valentines Day,"" how would you greet a single person on February 14?",Happy Independence Day!
What did February 14 say to February 1?,"""I heard you're single."""
"It could be delivered by mail, email, by hand, or even by pigeon.It is sometimes short, sometimes lengthy, and with deep, profound, or simple feelings.What is it?",A love letter.
"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.
Lipsticks come in this colorAnd some ladybugs as well.And on Valentine's DayThis color roses many shops sell.What color is it?,Red.
"I have wings, but I'm no bird.I have a bow and arrow, but I'm not Robin Hood.I'm a Roman god, but I'm not Jupiter.I look like a toddler, but I need no diaper.My image expresses love, but I'm not a heart.Who am I?",Cupid.
"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.
Where does Easter come before Valentine's Day?,In the dictionary.
"I come in many shades: red, pink, yellow, orange, or white; but I'm not a crayon.I'm fragrant, but I'm not perfume.People put me in water, but I'm not dirty laundry.I have a stem, but I'm not a wine glass.People gift me on Valentine's day, but I'm not a stuffed animal.What am I?",A rose.
What did one train say to his sweetheart on Valentine's day?,I choo-choo-choose you!
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand."
"Skunks never skip Valentine's Day, but why?",They are rather scent-imental.
How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me."""
What did one lightbulb say to the other lightbulb on Valentine's day?,I love you watts and watts.
What did one oar say to the other on Valentine's day?,How about a little row-mance?
What do you call a rather small Valentine?,A valentiny.
What did the chocolate sauce confess to the ice cream?,I'm sweet on you.
What did the envelope say to the stamp on Valentine's Day?,I'm stuck on you.
"A truck driver and a doctor fell in love with the same woman. The truck driver had to go on a weekend trip. Before leaving, he gave the woman 2 apples. Why?",Because an apple a day keeps the doctor away!
"Artichokes are considered to be the most loving vegetable, but why?",They have hearts.
One of Santa's reindeer also works on Valentine's Day? Which one?,Cupid.
What flower sounds very kissable?,Tulips.
"What can be touched, but can't be seen?",Someone's heart.
"I'm tiny but quite expensive. But when you use me, all I do is hang and sparkle.What Valentine's Day gift am I?",Earrings.
What did the farmer give his girlfriend on Valentine's Day?,Hogs and kisses.
Who marries many times but always remains single?,A priest.
"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?",Newly webs.
"You'll see two of me at every wedding, but I am not a person.What am I?",A wedding ring.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
"I connect two people, but I touch only one.What am I?",A wedding ring.
How do you know that a wedding is really emotional?,Even the cake is in tiers.
"I have no finish line in sight, but you can break me. Once you have me, you are bound for life.What am I?",Marriage.
Why should you never fall in love with a pastry chef?,They may dessert you.
"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.
"I can make you happy, I can make you cry. I can make you want me, but I can also drive people to madness.What am I?",Love.
Why did the bank teller break up with her boyfriend?,She was losing interest.
Did Adam and Eve ever have a date?,"No, but they surely had apples."
"When I'm lost, I hurt the most, as well as when not had at all. I'm often hard to express and easy to ignore. You can give me to just one person, or to many. What am I?",Love.
What does a snake couple do as they say goodbye?,They give a hiss on the cheek to each other.
What part of the ocean is considered the most romantic?,"The place where the ""buoy"" meets the ""gull."""
What does the boy bird call his darling?,Tweetheart.
What did the magnet say to the paperclip?,I think you're very attractive.
How did the sculpture confess her love?,I love you with all of my art.
What do you call a couple of Italian ants?,Romance.
"I can be clogged, and I can break. I can be given but also kept. I can be crushed or be made whole. What am I?",A heart.
Why did the girl fall in love with the French chef?,He buttered her up!
