questions,answers
"It belongs to me, but other people use it more than me. What is it?",Your name
"I lose my head in the morning, but get it back at night. What am I?",A pillow
"I go up, I go down, but I never move. What am I?",Stairs
"Feed me and I live, yet give me a drink and I die, What am I?",A match
"I have rivers, but no water. I never move, but I'm always in the way. What am I?",A map
What is more rewarding when it is hard and long?,An education.
What do you call an unsinkable virgin?,A cherry float.
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.
"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?",A newspaper delivery person.
I work with briefs and I'm amazing when using my mouth. What am I?,A lawyer.
Why is a happy sex life like a good steak?,Because it's rare!
Set me to vibrate when you want some alone time. What am I?,A cell phone.
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.
I absolutely love holding your buns all day. What am I?,A hair tie.
I drip when you take me in the mouth. What am I?,Ice-cream.
What gets wetter when things get steamy?,Steamboats.
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.
"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.
"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.
What do men keep in their pants that their partners sometimes blow?,Money.
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.
What is super hard and goes into a tiny hole?,A key.
You have to blow it to play with it. What is it?,A balloon.
What's long and hard and has the word 'cum' in it?,A cucumber.
"What is six inches long, sweet on the lips, and goes down better with butter?",Corn on the cob.
What do you insert in a small hole and twist all the way around?,A Q-tip.
You can't taste it unless you undress it. What is it?,A banana.
You play with it at night and it vibrates. What is it?,A cell phone.
"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.
What does a woman have two of that a cow has four of?,Legs.
"What's white, sticky, and better to spit than to swallow?",Toothpaste.
"What's made of rubber, handed out at some schools, and exists to prevent mistakes?",Erasers.
I'm great for protection. You use your fingers to get me off. What am I?,Gloves.
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.
"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?",A crane.
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.
"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?",Popcorn.
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.
All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,An elevator.
"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?",A fork.
"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?",Your nose.
"What's a four-letter word that ends in ""k"" and means the same as intercourse?",Talk.
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.
What man cannot live inside the house?,A snowman.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"What is it that anyone can divide, but no one can see where it is divided?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
"There's a bridge in a hollowAnd a hundred cross itNo mason, no blacksmith, nor carpenter built it.What is it?",A frozen river.
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"A thousand colored folds stretch toward the sky,Atop a tender strand,Rising from the land,'Til killed by maiden's hand.Perhaps, as a token of love.Perhaps, to say goodbye.What is it?",A flower.
"My love, when I gaze on thy beautiful face,Careering along, yet always in place -The thought has often come into my mindIf I ever shall see thy glorious behind.",The moon.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What has roots that nobody sees,Is taller than trees,Up, up it goes,And yet never grows?",A mountain.
"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.
"I'm gentle enough to soothe your skin,Light enough to fly through the sky,Strong enough to crack rocks.What am I?",Water.
"I can fly but have no wings,I can cry but have no eyes,Wherever I go, darkness follows me.What am I?",A cloud.
"What occurs once in a date, twice in Valentine's Day, and three times in everlasting love?",The letter E.
"If you greet a couple on Valentine's Day with ""Happy Valentines Day,"" how would you greet a single person on February 14?",Happy Independence Day!
What did February 14 say to February 1?,"""I heard you're single."""
"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.
Where does Easter come before Valentine's Day?,In the dictionary.
"What can be touched, but can't be seen?",Someone's heart.
What did the farmer give his girlfriend on Valentine's Day?,Hogs and kisses.
Who marries many times but always remains single?,A priest.
"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?",Newly webs.
"You'll see two of me at every wedding, but I am not a person.What am I?",A wedding ring.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
"I connect two people, but I touch only one.What am I?",A wedding ring.
How do you know that a wedding is really emotional?,Even the cake is in tiers.
"I have no finish line in sight, but you can break me. Once you have me, you are bound for life.What am I?",Marriage.
Why should you never fall in love with a pastry chef?,They may dessert you.
Why did the bank teller break up with her boyfriend?,She was losing interest.
What does a snake couple do as they say goodbye?,They give a hiss on the cheek to each other.
What part of the ocean is considered the most romantic?,"The place where the ""buoy"" meets the ""gull."""
What does the boy bird call his darling?,Tweetheart.
What did the magnet say to the paperclip?,I think you're very attractive.
How did the sculpture confess her love?,I love you with all of my art.
What do you call a couple of Italian ants?,Romance.
Why did the girl fall in love with the French chef?,He buttered her up!
"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.
A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear."
"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?",A flea.
"A raven, a monkey, and a squirrel are all racing to the top of a coconut tree. Which animal will get the banana?","No one, because there are no bananas on a coconut tree!"
"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?",The window was closed.
What do you call a cow spying on another cow?,A steak out.
What is the first animal in space?,The cow that jumped over the moon.
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.
What steps must you take when you notice a tiger running toward you?,Big ones!
Why is it so difficult for the leopard to hide?,Because it's always spotted.
I grow down as I grow up.What am I?,A goose - goose feathers are called down.
"A young man entered a pet shop in search of a talking parrot. On one of the cages, he saw a sign saying, ""This parrot repeats everything it hears."" The man bought the parrot and tried to teach it to speak. Yet, he was unsuccessful. The bird didn't say one word in over 2 weeks. So the man decided to return the parrot and accused the shopkeeper of lying. However, the shopkeeper insisted that he was saying the truth...How is this possible?",The parrot was deaf.
"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?",A lion.
"Sneaky as a shadow in the dead of night,Cunning but affectionate if given a bite.Never owned but often loved.What am I?",A cat.
"I'm grey, but I'm no wolf,I have long ears, but I'm not a rabbit,I have hooves, but I'm not a cow.What am I?",A donkey.
"I may be small, but I can climb a tower.What am I?",An ant.
"I'm not a superhero, but I have a cape. I have a comb, but I don't use it on my hair, and I am famously territorial.What am I?",A rooster.
"Imagine the following: you are walking through the woods and a huge bear is going to attack you. You are running for your dear life, but he is getting closer and closer...How can you escape from the bear?",Quit imagining.
What do you call several identical parakeets sitting at the edge of a roof?,Parapets.
What did the aardvark ask the taxi driver?,Can you take me to my ants' place?
1 duck saw 4 elephants as it was going toward the river.Every elephant noticed 2 monkeys going to the river.Every monkey was carrying 1 dove in its paws.How many animals are going to the river?,"Five animals are moving toward the river.Here's a detailed answer:1 duck noticed 4 elephants as it was going toward the river. Hence, 1 animal (the duck) is moving to the river.The 4 elephants saw 2 monkeys going walking toward the river. Now comes the tricky part. You may think that each elephant saw 2 different monkeys walking toward the river. So you would conclude that 4 x 2 = 8 monkeys were going to the river.However, the task does not explicitly say that each elephant saw DIFFERENT monkeys. In fact, you can logically infer that the elephants saw the SAME 2 monkeys. Hence, we only have 2 additional animals (monkeys) moving toward the river.Since every monkey was carrying 1 dove, the 2 monkeys were carrying 2 doves in total.Summing up, we have 1 duck, 2 monkeys, and 2 doves moving to the river. 1 + 2 + 2 = 5 animals."
"You've got a sack of corn, a chicken, and a fox. You have to cross a river, but you can only carry them one at a time. If you leave the chicken with the sack of corn, the chicken will eat the corn. If you leave the fox alone with the chicken, the fox will eat the bird.How can you get all three things across the river safely?","Cross the river with the chicken, then go back and carry the corn over the river. However, instead of leaving the corn with the bird, return together with the chicken. Cross the river for the third time with the fox, leaving the chicken behind. Leave the fox with the sack of corn, and return for the last time to get the chicken. Done!"
What do you call a three-humped camel?,Pregnant.
What lives in a tiny house all alone?,A baby chick in an egg.
"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?",A worm.
Play me with a ball and bat. Or hear me sing in a tophat.What am I?,A cricket.
"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?",A fish.
"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?",A mosquito.
"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?",A hummingbird.
"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?",An elephant.
"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?",A spider.
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.
I plow and plow but never sow.What am I?,A pig.
"I have four legs but no tail. Usually, I am heard only at night.What am I?",A frog.
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.
My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,An owl.
"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?",A spider.
"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?",A queen bee.
"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?",A turtle.
"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?",A snail.
"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?",A reindeer.
I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,A whale.
"When I walk, I jump, and when I stand, I sit.What animal am I?",A kangaroo.
I peel like an onion yet remain whole.Which mystery creature am I?,A lizard.
I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,An elephant.
"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?",A hummingbird.
"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?",A horse.
"If a fender cost six dollars, what will a ton of coal come to?",To ashes.
While walking down the street I met a man. He tipped his hat and drew his cane and in this riddle I told his name. What is the man's name?,And drew = ANDREW.
"There is a frog, dead in the middle of an island. If he swims north, the distance to the mainland is 2 meters. If he swims south, the distance to the mainland is 3 meters. If he swims east or west, the distance is 4 meters. Which way does he swim?","He doesn't swim at all, he is dead."
"Mary's father has five children. They are Nana, Nene, Nini, and Nono. What is the fifth childs name?",Mary.
One word in this sentence is misspelled. What word is it?,"MISSPELLED. It isn't spelled wrong, the one word in this sentence IS ""misspelled."""
"Trains travel from one town to another town all day, always on the same track, always going nonstop and at the same speed. The noon train took 80 minutes to complete the trip, but the 4 PM train took an hour and 20 minutes. Why?",80 minutes is the same as an hour and 20 minutes.
What bird can be heard at mealtimes?,A swallow.
"If there is a Yellow house on Bluebird Lane, a Green house on Orange Street, a Pink house on Kitten Road, a Black house on Whitehorse Pike and a Purple house on Firebird hill, where is the White house?","Washington, D.C."
What building has the most stories?,The library.
"If a chicken says, ""All chickens are liars"". Is the chicken telling the truth?",Chickens cannot talk.
"When may a man's coat pocket be empty, and yet have something in it?",When there's a hole in it.
"There was a man who was born before his father, killed his mother, and married his sister. Yet, there was nothing wrong with what he had done. Why?","His father was in front of him when he was born, therefore he was born before him. His mother died while giving birth to him. Finally, he grew up to be a minister and married his sister at her ceremony."
"The rungs of a 10 foot ladder attached to a ship are 1 foot apart. If the water is rising at the rate of one foot an hour, how long will it take until the water covers over the ladder?","It will never cover the ladder because as the water rises, so will the floating ship."
"A magician was boasting one day at how long he could hold his breath under water. His record was 6 minutes. A kid that was listening said, ""that's nothing, I can stay under water for 10 minutes using no types of equipment or air pockets!"" The magician told the kid if he could do that, he'd give him $10,000. The kid did it and won the money. Can you figure out how?",The kid filled a glass of water and held it over his head for 10 minutes.
When will water stop running downhill?,When it reaches the bottom.
When can you add two to eleven and get one as the correct answer?,"When you add two hours to eleven o'clock, you get one o'clock."
"Romeo and Juliet are found dead on the floor in a bedroom. When they were discovered, there were pieces of glass and some water on the floor. The only furniture in the room is a shelf and a bed. The house is in a remote location, away from everything except for the nearby railroad track. What caused the death of Romeo and Juliet?","Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive."
How many seconds are there in one year?,"12 of them: January 2nd, February 2nd, March 2nd, April 2nd, May 2nd, June 2nd, July 2nd, August 2nd, September 2nd, October 2nd, November 2nd, December 2nd."
"A beggar's brother died, but the man who died had no brother.How could this be?",The beggar was a woman
"What can you sit on, sleep on, and brush your teeth with?","A chair, a bed, and a toothbrush."
"Name-called and favorite to eat,Has only two toes on print of feet,Colors many,Almost any Country child would have seen one.What is it?",A chicken
Placed above it makes greater things small.Placed beside it makes small things greater.In matters that counts it always comes first.Where others increase it keeps all things the same.What is it?,1
"A pet shop owner had a parrot with a sign on its cage that said ""Parrot repeats everything it hears"". Davey bought the parrot and for two weeks he spoke to it and it didn't say a word. He returned the parrot but the shopkeeper said he never lied about the parrot. How can this be?",The parrot is deaf.
"A precious stone, as clear as diamond.Seek it out whilst the sun's near the horizon.Though you can walk on water with its power,Try to keep it, and it'll vanish in an hour.What is it?",Ice
