questions,answers
"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.
Set me to vibrate when you want some alone time. What am I?,A cell phone.
"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?",The Titanic.
I absolutely love holding your buns all day. What am I?,A hair tie.
I drip when you take me in the mouth. What am I?,Ice-cream.
"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.
"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?",A spider.
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.
"Two little golden horns sitting on a cloud, They float slowly in the sky,And look very proud.What is it?",A young moon.
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.
"When rain falls, does it ever get up again?","Yes, in dew time."
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.
What man cannot live inside the house?,A snowman.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"What is it that anyone can divide, but no one can see where it is divided?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.
I have lots of bark but no bite. What am I?,A tree.
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
"There's a bridge in a hollowAnd a hundred cross itNo mason, no blacksmith, nor carpenter built it.What is it?",A frozen river.
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.
"I'm gentle enough to soothe your skin,Light enough to fly through the sky,Strong enough to crack rocks.What am I?",Water.
"I can fly but have no wings,I can cry but have no eyes,Wherever I go, darkness follows me.What am I?",A cloud.
"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?",Chocolate.
"It could be delivered by mail, email, by hand, or even by pigeon.It is sometimes short, sometimes lengthy, and with deep, profound, or simple feelings.What is it?",A love letter.
"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.
Lipsticks come in this colorAnd some ladybugs as well.And on Valentine's DayThis color roses many shops sell.What color is it?,Red.
"I have wings, but I'm no bird.I have a bow and arrow, but I'm not Robin Hood.I'm a Roman god, but I'm not Jupiter.I look like a toddler, but I need no diaper.My image expresses love, but I'm not a heart.Who am I?",Cupid.
"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.
"I come in many shades: red, pink, yellow, orange, or white; but I'm not a crayon.I'm fragrant, but I'm not perfume.People put me in water, but I'm not dirty laundry.I have a stem, but I'm not a wine glass.People gift me on Valentine's day, but I'm not a stuffed animal.What am I?",A rose.
"I'm tiny but quite expensive. But when you use me, all I do is hang and sparkle.What Valentine's Day gift am I?",Earrings.
Who marries many times but always remains single?,A priest.
"You'll see two of me at every wedding, but I am not a person.What am I?",A wedding ring.
"I connect two people, but I touch only one.What am I?",A wedding ring.
"I have no finish line in sight, but you can break me. Once you have me, you are bound for life.What am I?",Marriage.
"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.
"I can make you happy, I can make you cry. I can make you want me, but I can also drive people to madness.What am I?",Love.
"When I'm lost, I hurt the most, as well as when not had at all. I'm often hard to express and easy to ignore. You can give me to just one person, or to many. What am I?",Love.
"I can be clogged, and I can break. I can be given but also kept. I can be crushed or be made whole. What am I?",A heart.
"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.
"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?",A worm.
"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?",A flea.
"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?",A turkey.
I always sleep with my shoes on.What am I?,A horse.
"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?",A squirrel.
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.
"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?",A platypus.
"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?",A snake.
"I live on a farm and I'm pink.I'm famous for saying ""oink...oink.""Come near me, and you'll realize I stink.What am I?",A pig.
"My arms are longer than my legs, and I can be taught sign language to communicate with humans.What am I?",A gorilla.
I grow down as I grow up.What am I?,A goose - goose feathers are called down.
I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,A zebra.
"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?",A lion.
"Sneaky as a shadow in the dead of night,Cunning but affectionate if given a bite.Never owned but often loved.What am I?",A cat.
"I'm grey, but I'm no wolf,I have long ears, but I'm not a rabbit,I have hooves, but I'm not a cow.What am I?",A donkey.
"I'm a pet with cute ears, four legs, and a tail at the end.You surely heard me barking. I'm known as man's best friend.What am I?",A dog.
"Some are afraid of this creature,Because it has a large bite.So be careful out in the ocean,One of its kin is a Great White.What is it?",A shark.
"Throughout the day I rest and sleep.At night, I fly and hunt.I have no feathers on my wings,Nor do I chirp or grunt.What am I?",A bat.
I am named after the animal I eat.What am I?,An anteater.
"I may be small, but I can climb a tower.What am I?",An ant.
"I'm not a superhero, but I have a cape. I have a comb, but I don't use it on my hair, and I am famously territorial.What am I?",A rooster.
This is a type of animalKnown for its long face.It's very good at runningSo people ride it in a race.,A horse.
What lives in a tiny house all alone?,A baby chick in an egg.
"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?",A shark.
"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?",A cow.
"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?",A fish.
"I sizzle like bacon, but I hatched from an egg,I expand when I eat, and I have no legs.What am I?",A snake.
"I have got a crown like a king, but I'm a disgrace when I sing.There are fewer eyes on my face than my tail, but only when I'm a male.What am I?",A peacock.
"I'm the opposite of a dog, but I'm not a god.I move my tail when I'm mad and growl when I'm pleased.What am I?",A cat.
I feed on leaves from treetops but my feet never leave the earth.What am I?,A giraffe.
"I go to school all my life, and I never leave the water, even though I breathe air. What am I?",A dolphin.
"I often join you at parties and holidays, but I never get to enjoy them.What am I?",A turkey.
I grow from egg to fish to creature.I burp when I talk and I jump when as I walk.What am I?,A frog.
"I have no legs, eyes, or nose, but if you give me enough time, I can move the earth.What am I?",A worm.
I have black circles around my eyes - even when I'm not exhausted.What am I?,A panda.
Play me with a ball and bat. Or hear me sing in a tophat.What am I?,A cricket.
"Alive without breath, as cold as death.All in mail never clinking.Never thirsty, ever drinking.What am I?",A fish.
"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?",A mosquito.
"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?",A hummingbird.
"I have a face like a tree and skin like the sea.A great beast I am, yet small vermin frighten me.What am I?",An elephant.
"I create my lair with earthen string,And dispatch my prey with a biting sting.What am I?",A spider.
"I had no father, only a grandfather... I shall bear no sons, only daughters.What am I?",A bee.
I plow and plow but never sow.What am I?,A pig.
"I have four legs but no tail. Usually, I am heard only at night.What am I?",A frog.
"What is that which, while it lives, constantly changes its habit, That is buried before it is dead, and whose tomb is valued wherever it is found?",A silkworm.
"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?",A dove.
"A prickly house a little host contains.The pointed weapons keep back from pains,So he, unarmed, safe in his fort remains.Who is he?",A hedgehog.
What can honk without a horn?,A goose.
"I am an insect, and the first part of my name is another insect.What insect am I?",A beetle.
My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,An owl.
"Oh, how I love my dancing feet!They stay together - oh so neat.And when I want to walk a line,They all stay together and do double time.I count them up, ten times or more,And race on-off, across the floor.",A centipede.
"I can jump, I can swim,I swing from tree to tree.And I can also weave a houseThat's much bigger than me.What am I?",A spider.
"It can be in a hat,Or out of the bag.If you see it you'll be smitten,'Cause it's fluffy like a mitten.What is it?",A cat.
"It's small but larger than a bee,And agile as a flea.It hums but does not buzz,And it's not covered with fuzz.It is a small collectorOr juicy flower nectar,What is it?",A hummingbird.
"It can be white, blue, or black,Humped or have a horn.And when it talks, it sings its minuets,As it's traveling the depths.What is it?",A whale.
"I have no sword, I have no spear,Yet rule a horde that many fear,My soldiers fight with a wicked sting,I rule with might, yet I'm no king.What am I?",A queen bee.
"The cow is my cousin.If you see my name, you'll understand why.What am I?",A moose.
"What has armor but is not a knight,Snaps but is not a twig,And is always at homeEven on the move?",A turtle.
"If a man could carry my burden, he would break his back.I am not rich, but leave silver in my track.What am I?",A snail.
"I hang upside-down on trees.I'm the opposite of busy bees.I sleep and sleep, I'm very slow, and on each footI have three toes.What am I?",A sloth.
"I am both a bird and a kind of fruit, and I can even be a person.What am I?",Kiwi.
"You say ""hey."" I'll eat it.I say ""neigh.""What am I?",A horse.
"My start goes on toast, and my end's how birds move.My baby eats leaves, whereas I drink flowers.",Butterfly.
"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?",A reindeer.
I've got a hole in my back and legs I lack.I live where I can't breathe and I eat without teeth.What am I?,A whale.
"When I walk, I jump, and when I stand, I sit.What animal am I?",A kangaroo.
I peel like an onion yet remain whole.Which mystery creature am I?,A lizard.
"I walk on silken strings and catch all sorts of things.When you find my home, I am gone.What am I?",A spider.
I'm the only known mammal incapable of jumping. That's because I'm very large.What animal am I?,An elephant.
"My field of vision is 270 degrees, and I'm quiet and sneaky like a ninja when I hunt for my prey.What bird am I?",An owl.
"I was born small and pink, but then I grew big and black and white.I'm lazy to cook, so all I eat is bamboo.What animal am I?",A panda.
"I've got horns, but I can't honk.Instead, I bleat, but I'm no sheep.What am I?",A goat
"I hover and zip through the air with a dazzling flare.I move from flower to flower, humming a tune, but I'm no insect.What am I?",A hummingbird.
"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?",A lion.
"I live in a den, and I wear a furry suit.I like to eat fish, but also berries and fruit.I love honey more than you do.What animal am I?",A bear.
"I wear a tuxedo when I'm swimming, and I slide on my tummy across the ice.What am I?",A penguin.
"I have a mane, but I'm no lion. I wear shoes, but I'm not a human.What am I?",A horse.
"I have a lump or two on my back, and I live in the sand.I'm tough and I'll carry you over the land.What am I?",A camel.
"I'm spotty and swift, but I'm no leopard.And no one wants to play cards with me.What am I?",A cheetah.
"It takes me a couple of weeks to digest what I eat, and I'm never in a hurry.What am I?",A sloth.
"You may find me cute, but I'm too big for a pet.I have a long trunk, and I never forget.What am I?",An elephant.
"I have four of these, With matching extremities. They can do many things, And hardly ever bring me pain. Unless I stick them with a pin, Or burn them sometimes when... What is it that I can wiggle at will? And use in other means still?",Fingers.
"I am not found on any ground,But always in the air;Though charged each cloud with thunder loud,You can not find me there.Now, if from France you choose to danceYour way just into Spain,I there am seen, and near the queen,In hail, in mist, and rain.What am I?",The letter I.
"My head and tail both equal are, My middle slender as a bee. Whether I stand on head or heel Is quite the same to you or me. But if my head should be cut off, The matter's true, though passing strange Directly I to nothing change. What Am I?",Figure eight.
"With potent, flowery words speak I, Of something common, vulgar, dry; I weave webs of pedantic prose, In effort to befuddle those, Who think I while time away, In lofty things, above all-day The common kind that lingers where Monadic beings live and fare; Practical I may not be, But life, it seems, is full of me! What am I?","A riddler, or riddle."
"Hold the tail, While I fish for you. What am I?",A net.
"My first is a part of the day, My last a conductor of light, My whole to take measure of time, Is useful by day and by night. What am I?",An Hour-glass.
"I know what my job is, The point has been made. You say I have a big head, And you're right, I'm afraid. Put me in my place, And then leave me alone. What I need most, Is someone to drive me home. What am I?",A Nail!
"In camps about the centre I appear; In smiling meadows seen throughout the year; The silent angler views me in the streams, And all must trace me in their morning dreams, First in the mob conspicuous I stand, Proud of the lead, and ever in command. What am I?",The letter M.
"A dagger thrust at my own heart,Dictates the way I'm swayed.Left I stand, and right I yield,To the twisting of the blade.What am I?",A Lock.
"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you. What am I?",Your heart.
"I am a word of five letters. Take away my first and I am the name of what adorns the estate of many of the nobility of England. Take away my first and second, and I am the name of a place where all the world was once congregated. Take away my last, and I am the name of a beautiful mineral. Take away my two last, and I am the name of a fashionable place of resort. I am small in stature but capable of doing a great deal of mischief, as I once did in London in the year 1666. What word am I?",Spark.
I'm as plain to see as black & white. I prefer to roam about at night. Just don't attack or startle me. Or odiferous emissions may result you see. I'm an omnivore yes it's true. But what's my name tell me do?,I am a skunk!
"I can be all colors of the rainbow, Or have no color at all. Sometimes I'm empty, Sometimes I'm full. What am I?",Glass
"Dark with white markings, And smooth like a rock. Where learning occurs, I help convey thought. What am I?",Blackboard
"My teeth are sharp, my back is straight, to cut things up it is my fate. What am I?","tricky riddle, hard riddle, logic riddle, what is it, word riddle"
"My tongue is long, my breath is strong, And yet I breed no strife; My voice you hear both far and near, And yet I have no life. What am I?",A bell.
"Without a bridle, or a saddle, across a thing I ride a-straddle. And those I ride, by help of me, though almost blind, are made to see. What am I?",Eyeglasses.
"Duels of good and evil, A fighter of good am I, Revealed beside watched words, King of the black night sky. What am I?",The dark.
"Poke your fingers in my eyes and I will open wide my jaws. Linen cloth, quills, or paper, my greedy lust devours them all. What am I?",Scissors.
"You throw me away, I find my way back; Traditionally I'm wooden, With an arch in my back. What am I?",A Boomerang.
"Often held but never touched, always wet but never rusts, often bites but seldom bit, to use me well you must have wit. What am I?",Your tongue.
I am the only thing that always tells the truth. I show off everything that I see. I come in all shapes and sizes. So tell me what I must be! What am I?,"I must be a mirror, of course."
"When I am filled I can point the way, When I am empty nothing moves me, I have two skins, one without and one within. What am I?",I am a glove.
"You go in me for brushing, For flushing, For rushing; But please go in me one at a time, Or someone might be blushing. What am I?",A bathroom.
Late afternoons I often bathe. I'll soak in water piping hot. My essence goes through my see through clothes. Used up am I; I've gone to pot. What am I?,I'm a tea bag!
"I can slash but I have no knife, I can dash but I have no legs, I can pound but I have no hammer, I can star but I have no stage. What am I?",A Keyboard.
"I say everything I hear to others around. I'm not an animal, nor part of the human race. I will, immediately, repeat after you; But only if my tail is in place. What am I?",A microphone.
"I have two arms, but fingers none. I have two feet, but cannot run. I carry well, but I have found I carry best with my feet OFF the ground. What am I?",A Wheelbarrow.
"We capture light, and yet we don't. We reflect rays of sun, and yet we don't. Without us all the world is gray and dull for everyone. What are we?",Colors.
"I move without wings, between silken strings, I leave as you find, my substance behind. What am I?",A Spider.
"Almost everyone sees me without noticing me, For what is beyond is what he or she seeks. What am I?",A window.
You're both in and outside of me; You guide me but don't ride me; I can make a statement with a tongue but no mouth. What am I?,Shoes.
"I am big on Saturday and Sunday. Small on Tuesday, Wednesday, and Thursday. I'm not on Monday or Friday. What am I?",The letter S.
"Squeeze me and I cry tears as red as flesh, but my heart is made of stone. What am I?",A cherry.
"No legs have I to dance,No lungs have I to breathe,No life have I to live or dieAnd yet I do all three.What am I?",Fire.
"A hole leading in, a hole leading out, we connect to a cavern that is slimy all throughout. What are we?",A nose.
"I look flat, but I am deep, Hidden realms I shelter. Lives I take, but food I offer. At times I am beautiful. I can be calm, angry and turbulent. I have no heart, but offer pleasure as well as death. No man can own me, yet I encompass what all men must have. What am I?",An ocean.
"My voice is tender, my waist is slender and I'm often invited to play. Yet wherever I go I must take my bow or else I have nothing to say. What am I?",A violin.
"I have four wings, but cannot fly, I never laugh and never cry; On the same spot I'm always found, toiling away with little sound. What am I?",A Windmill.
"I have no voice and yet I speak to you, I tell of all things in the world that people do. I have leaves, but I am not a tree, I have pages, but I am not a bride or royalty. I have a spine and hinges, but I am not a man or a door, I have told you all, I cannot tell you more. What am I?",A Book.
"I'm like a doll, But I'm not for playing; I stand up straight, but if windy I may be laying; I'm well-known and famous for having no brain; I work outside both day and night in sunshine or in rain. What am I?",A Scarecrow.
"They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way. What am I?",A mailbox.
I run through hills; I veer around mountains. I leap over rivers and crawl through the forests. Step out your door to find me. What am I?,Roads
"Some will use me, while others will not, some have remembered, while others have forgotten. For-profit or gain, I'm used expertly, I can't be picked off the ground or tossed into the sea. Only gained from patience and time, can you unravel my rhyme? What am I?",Knowledge
"I'm so fast you can't see me, though everyone else can see straight through me. I don't stop until the day you die. What am I?",The blink on an eye.
"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed. What am I?",A mask
"I'm not clothes but I cover your body; The more I'm used, the thinner I grow. What am I?",Bar of soap.
"I am born in fear, raised in truth,and I come to my own in deed.When comes a time that I'm called forth,I come to serve the cause of need.What am i?",Courage
My thunder comes before my lightning.My lightning comes before my rain.And my rain dries all the ground it touches.What am I?,Volcano
"It comes only before,It comes only after,Rises only in darkness,But rises only in light.It is always the same,But is yet always different.What am I?",The moon
"Within, I clean all that is bad and is old.I make juice that's the color of gold.Should I die, a filter machine would you need assembledto replace me … and beans I resemble.What am I?",Your kidneys
"I cut through evillike a double edged sword,And chaos flees at my approach.Balance I single-handedly upraise,Through battles fought with heart and mind,Instead of with my gaze.What am I?",Justice
"Creatures of power, creatures of grace,Creatures of beauty, creatures of strength.As for their lives, they set everything's pace,For all things must come to live under their emerald embrace. . .Either in their life, or in their death.What am I?",A tree
"If you break me, I'll not stop working.If you can touch me, my work is done.If you lose me, you must find me with a ring soon after.What am I?",The heart
"First you see me in the grass dressed in yellow gay;next I am in dainty white, then I fly away. What am I?",A dandelion
"I weaken all men for hours each day.I show you strange visions while you are away.I take you by night, by day take you back,None suffer to have me, but do from my lack.What am I?",Sleep
"Iron roof, glass wallsBurns and burnsAnd never falls.What am I?",A lantern
"Take me and scratch my head.What once was red,Is black instead.What am I?",A match
"Armless, legless, I crawl around when I'm young.Then the time of changing sleep will come.I will awake like a newborn, flying beast,'till then on the remains of the dead I feast.Who am I?",A caterpillar.
"From house to house I go,sometimes narrow,sometimes wide.And whether there's rain or snow,I always stay outside.What am I?",Path
"At night they come without being fetched,And by day they are lost without being stolen.Whar are they?",Stars
"My head bobs lazily in the sun.You think I'm cute,For my face is yellow,My hair is white,and my body is green.What am I?",A daisy
"A horrid monster hides from the day,With many legs and many eyes.With silver chains it catches prey,And eats it all before it dies.Yet in every cottage does it stay,And every castle 'neath the sky.What is it?",A spider.
