questions,answers
"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?",A bunk bed.
What does a man have in his trousers that a lady doesn't want on her face?,Wrinkles.
I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,An arrow.
You can't taste it unless you undress it. What is it?,A banana.
"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.
What's long and hard when it's young and soft and small when it's old?,A candle.
"What's white, sticky, and better to spit than to swallow?",Toothpaste.
"What's beautiful and natural, but gets prickly if it isn't trimmed regularly?",The lawn.
"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?",A fork.
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.
"Two little golden horns sitting on a cloud, They float slowly in the sky,And look very proud.What is it?",A young moon.
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.
"When rain falls, does it ever get up again?","Yes, in dew time."
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.
What man cannot live inside the house?,A snowman.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"What is it that anyone can divide, but no one can see where it is divided?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
