questions,answers
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.
"Two little golden horns sitting on a cloud, They float slowly in the sky,And look very proud.What is it?",A young moon.
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.
What falls on the water but never gets wet?,A shadow.
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.
"When rain falls, does it ever get up again?","Yes, in dew time."
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.
What man cannot live inside the house?,A snowman.
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.
"Riddle me, riddle me, rin-е-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.
"What is it that anyone can divide, but no one can see where it is divided?",Water.
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.
I have lots of bark but no bite. What am I?,A tree.
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.
"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.
"I'm gentle enough to soothe your skin,Light enough to fly through the sky,Strong enough to crack rocks.What am I?",Water.
"I can fly but have no wings,I can cry but have no eyes,Wherever I go, darkness follows me.What am I?",A cloud.
"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?",Chocolate.
"It could be delivered by mail, email, by hand, or even by pigeon.It is sometimes short, sometimes lengthy, and with deep, profound, or simple feelings.What is it?",A love letter.
"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.
Lipsticks come in this colorAnd some ladybugs as well.And on Valentine's DayThis color roses many shops sell.What color is it?,Red.
"I have wings, but I'm no bird.I have a bow and arrow, but I'm not Robin Hood.I'm a Roman god, but I'm not Jupiter.I look like a toddler, but I need no diaper.My image expresses love, but I'm not a heart.Who am I?",Cupid.
"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.
