questions,answers
What month are trees scared of?,Sep-timber.
Who walks little pumpkins across the road to school?,The crossing gourd.
What did the ocean say to the ship's captain?,"Nothing, it just waved."
What does a tree do when it gets homesick?,It leaves.
When do the leaves begin to turn?,The night before a test.
How can you tell a dogwood tree apart from other trees?,By its bark.
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.
What tree grieves the most?,The weeping willow.
I have lots of bark but no bite. What am I?,A tree.
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.
What falls but never breaks?,Dusk.
What did the bat say to his date?,"""You are fun to hang out with."""
"What occurs once in a date, twice in Valentine's Day, and three times in everlasting love?",The letter E.
What did the walnut say as he was proposing to the almond?,"""I am nuts about you."""
"If you greet a couple on Valentine's Day with ""Happy Valentines Day,"" how would you greet a single person on February 14?",Happy Independence Day!
What did February 14 say to February 1?,"""I heard you're single."""
Where does Easter come before Valentine's Day?,In the dictionary.
What did one train say to his sweetheart on Valentine's day?,I choo-choo-choose you!
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand."
"Skunks never skip Valentine's Day, but why?",They are rather scent-imental.
How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me."""
What did one lightbulb say to the other lightbulb on Valentine's day?,I love you watts and watts.
What did one oar say to the other on Valentine's day?,How about a little row-mance?
What do you call a rather small Valentine?,A valentiny.
What did the chocolate sauce confess to the ice cream?,I'm sweet on you.
What did the envelope say to the stamp on Valentine's Day?,I'm stuck on you.
"A truck driver and a doctor fell in love with the same woman. The truck driver had to go on a weekend trip. Before leaving, he gave the woman 2 apples. Why?",Because an apple a day keeps the doctor away!
"Artichokes are considered to be the most loving vegetable, but why?",They have hearts.
What flower sounds very kissable?,Tulips.
What did the farmer give his girlfriend on Valentine's Day?,Hogs and kisses.
"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?",Newly webs.
"You see a boat filled with people, but there isn't a single person on board.How is this possible?",All the passengers were married.
How do you know that a wedding is really emotional?,Even the cake is in tiers.
Why should you never fall in love with a pastry chef?,They may dessert you.
"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.
Why did the bank teller break up with her boyfriend?,She was losing interest.
Did Adam and Eve ever have a date?,"No, but they surely had apples."
What does a snake couple do as they say goodbye?,They give a hiss on the cheek to each other.
What part of the ocean is considered the most romantic?,"The place where the ""buoy"" meets the ""gull."""
What does the boy bird call his darling?,Tweetheart.
What did the magnet say to the paperclip?,I think you're very attractive.
How did the sculpture confess her love?,I love you with all of my art.
What do you call a couple of Italian ants?,Romance.
Why did the girl fall in love with the French chef?,He buttered her up!
Two silkworms started a fight. How did it end?,In a tie!
What animal can lend you a buck?,A deer (male deer are called bucks).
"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?",Because of their fowl language.
Why did the fish blush?,It saw the ocean's bottom.
What happens when you're shaving a looney sheep?,Shear madness.
What do you call a cow sucked up by a tornado?,A milkshake.
What do you call a cow spying on another cow?,A steak out.
"What goes tick-tock, bow-wow, tick-tock, bow-wow?",A watch dog.
Why is it so difficult for the leopard to hide?,Because it's always spotted.
I grow down as I grow up.What am I?,A goose - goose feathers are called down.
"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?",A lion.
What kind of can doesn't need a can-opener?,A pelican.
What did the duck say to the rooster as he dared him to a fight?,Are you chicken?
What do you call several identical parakeets sitting at the edge of a roof?,Parapets.
What did the aardvark ask the taxi driver?,Can you take me to my ants' place?
Why did the silly dog swim down the rapids?,"Because he likes ""ruff"" waters!"
What do you call a three-humped camel?,Pregnant.
"My first letter is in sea but not in ocean,The second is in change but not in motion.My third letter in boat but never in ship,And the fourth is in travel as well as in trip.The fifth letter is in dark but not in caves,And my whole is a triangle popping up from the waves.  What am I?",A shark.
"My first letter is in cloud, but never in sky.The second is in roll but not in lie,My third letter is in water but not in trees.My whole makes you milk, kefir, and cheese.What am I?",A cow.
"My first letter is in follow but not in lead, and the second is in write but not in read.My third letter is in sky but not in cloud, my fourth is in humble but not in proud.My all makes circles in a bowl, or lies on a plate cooked up whole.What am I?",A fish.
"My first letter is in window but not in pane.My second's in road but not in lane.My third is in oval but not in round.My fourth is in hearing but not in sound.My whole is known as a sign of peace.And from Noah's Ark, I won quick release.What am I?",A dove.
"I am an insect, and the first part of my name is another insect.What insect am I?",A beetle.
My first letter is in ocean but never in sea.My second's in wasp but never in bee.My third is in glider and also in flight.My whole is a creature that comes out at night.What am I?,An owl.
"I am not found on any ground,But always in the air;Though charged each cloud with thunder loud,You can not find me there.Now, if from France you choose to danceYour way just into Spain,I there am seen, and near the queen,In hail, in mist, and rain.What am I?",The letter I.
Name a five-letter word that has three consonants all the same and two different vowels. Every now and then you see this while running a Windows 95/98 on your PC. What is it?,Error!
What letters of the alphabet come too late for supper?,Those that come after T.
"Four letters form me quite complete, As all who breathe do show; Reversed, you'll find I am the seat Of infamy and woe. Transposed, you'll see I'm base and mean, Again of Jewish race; Transposed once more, I oft am seen To hide a lovely face. What are the five words?","Live, evil, vile, Levi, veil."
"I am a word of five letters. Take away my first and I am the name of what adorns the estate of many of the nobility of England. Take away my first and second, and I am the name of a place where all the world was once congregated. Take away my last, and I am the name of a beautiful mineral. Take away my two last, and I am the name of a fashionable place of resort. I am small in stature but capable of doing a great deal of mischief, as I once did in London in the year 1666. What word am I?",Spark.
Which word in the English language becomes shorter when it is lengthened?,Short.
"I can travel from there to here by disappearing, and here to there by reappearing. What am I?","The letter ""T""."
"I'm in the book, but not on any leaf; I'm in the mouth, but not in lip or teeth; I'm in the atmosphere, but never in the air; I wait on every one, but never on a pair; I am with you wherever you may go; And every thing you do I'm sure to know; Though when you did it I should not be there, Yet when 'twas done, you'd find me in the chair.What am I?","The letter ""O""."
What is the end of everything?,The letter G.
I am six letters. When you take one away I am twelve. What am I?,The word dozens.
"A pregnant lady named her children: Dominique, Regis, Michelle, Fawn, Sophie and Lara. What will she name her next child? Jessica, Katie, Abby or Tilly?","Tilly. She seems to follow the scale Do, Re, Me, Fa, So, La, and then Ti."
People are hired to get rid of me.I'm often hiding under your bed.In time I'll always return you see.Bite me and you're surely dead.What am I?,Dust
"I dig out tiny caves, and store gold and silver in them.I also build bridges of silver and make crowns of gold.They are the smallest you could imagine.Sooner or later everybody needs my help,yet many people are afraid to let me help them.Who am I?",A dentist
"What is it that given one, you'll have either two or none?",A choice.
"We are very little creatures; all of us have different features. One of us in glass is set; one of us you'll find in jet. Another you may see in tin, and a fourth is boxed within. If the fifth you should pursue, it can never fly from you.What are we?",The vowels.
We are five little objects of an everyday sortyou will find us all in the ladies' court.What are we?,Vowels
"With thieves, I consort,With the vilest, in short,I'm quite at ease in depravity;Yet all divines use me,And savants can't lose me,For I am the center of gravity.Who am I?",The letter V.
Remove six letters from this sequence to reveal a familiar English word. BSAINXLEATNTEARS,BANANAS (Removed SIX LETTERS)
"Feed me and I live, give me drink and I die. What am I?",Fire
"What has a neck and no head, two arms but no hands?",A shirt
When you went into the woods you got me.You hated me yet you wanted to find me.You went home with me cause you couldn't find meWhat was it?,A splinter
"It's true I bring serenity,And hang around the starsBut yet I live in misery;You'll find me behind barsWith thieves and villains I consortIn prison I'll be foundBut I would never go to court,Unless there's more than one",The letter S
"Every dawn begins with meAt dusk I'll be the first you seeAnd daybreak couldn't come withoutWhat midday centers all aboutDaises grow from me, I'm toldAnd when I come, I end all coldBut in the sun I won't be foundYet still, each day I'll be around.",The letter D.
"Forward I'm heavy, but backward I'm not. What am I?",Ton.
"What is it that after you take away the whole, some still remains?",Wholesome
"Two in a corner,1 in a room,0 in a house, but 1 in a shelter. What am I?",The letter R.
"I know a word of letters three. Add two, and fewer there will be!",Fewer
What English word has three consecutive double letters?,Bookkeeper.
"What is in seasons, seconds, centuries and minutes but not in decades, years or days?",The letter 'n'.
"I am the beginning of the end, and the end of time and space. I am essential to creation, and I surround every place. What am I?","The letter e. End, timE, spacE, Every placE"
"A renowned chemist is found dead in his lab. There is no clear evidence except a piece of paper lying by the body. The paper is blank other than the name of five elements scrawled across it hastily:NickelCarbonOxygenLanthanumSulfurThe guard reported that three people visited the chemist that day – his sister, Laura; his colleague, Nicolas; and his wife, Tessa. The criminal was arrested immediately. Who was it?","His colleague, Nicolas. The list of the elements forms a clue, the abbreviations spell out his name."
"There were three men swimming in the sea. When the coastguard called them into the beach, only two of the men had wet hair. Why?",The third man was bald.
Why were the inventors of the airplane believed they could fly?,Because they were Wright.
What do you call someone who gets annoying when his flight is delayed because of the volcano?,An ash-hole.
What is the first thing you see in an emergency but you only see it twice in a lifetime?,The letter E.
What connects two people but touches only one?,A wedding ring
Look at this sequence from top to bottom. What is the next number in the sequence?      1     11     21   1211  111221  312211      ?,"The next number should be 13112221. Why?Because each of these numbers describes the previous number. Starting with 1, the 2nd line is 11 (one one), then the 3rd line describes 11 as 21(two ones). Then the 4th line is 1211 which describes (one 2, one 1). And so forth..."
"What word with 4 letters can be written forward, backward or upside down, and yet can still be read from left to right?",NOON
"What runs all around a backyard, yet never moves?",A fence.
"A wife decides to shoot her husband. She does so, then holds him underwater for more than 5 minutes. Finally she hangs him. 10 minutes later they both go out to lunch. How is this possible?","The woman shot a photo of the husband, they developed the photo in water and hanged it to dry."
"What has six faces, but does not wear makeup, has twenty-one eyes, but cannot see?",A Die (dice)
"A boy was at a carnival and went to a booth where a man said to the boy, ""If I write your exact weight on this piece of paper then you have to give me $10, but if I cannot, I will pay you $10."" The boy looked around and saw no scale so he agrees, thinking no matter what the carny writes he'll just say he weighs more or less. In the end the boy ended up paying the man $10. How did the man win the bet?","He wrote ""Your exact weight."" on the paper."
"What four letter word that ends in ""k"" means the same as intercourse?",Talk.
"This city might as well be named ""Armed conflict cutting tool.""",Warsaw (Poland)
"This city might as well be called: ""Wander.""",Rome (Italy)
"This city can be also named as: ""Father goes after container for carrying things.""",Baghdad (Iraq)
"This city can be just as well called: ""Supply Residence"".",Stock-Holm! (Sweden)
"City name sounds like: ""Sprouts' first name.""",Brussels (Belgium)
"Which city name can also be represented by: ""Insane to move""",Mad-rid! (Spain)
"What city's name can be described as: ""Before noon, gaze at water barrier.""",Am-ster-dam (Netherlands)
"Which city can be also named: ""Rooster appears after sudden loud noise.""",Bangkok (Thailand)
What do you answer even though it never asks you questions?,A doorbell. (Or a phone)
What can you see in the middle of March and April that you can never see in any other month?,The letter R.
"As a stone inside a tree, I'll help your words outlive thee. But if you push me as I stand, the more I move the less I am.What am I?",A pencil.
"Take away my first letter, then take away my second letter. Then take away the rest of my letters, yet I remain the same. What am I?",A postman.
"I live in my little house all alone. There are no windows or doors, and if I want to go out I have to break through the wall. What am I?",An unhatched chick.
"You throw away the outside, eat the inside, then throw away the inside. What is it?",Corn on the cob.
"It has existed for millions of years, but is never more than a month old. What is it?",The moon.
You can hold it without using your hands or your arms. What is it?,Your breath.
"What begins with T, ends with T, and has T in it?",A teapot.
What 8 letter word can have a letter taken away and it still makes a word. Take another letter away and it still makes a word. Keep on doing that until you have one letter left. What is the word?,"The word, ironically, is starting! As in - starting, staring, string, sting, sing, sin, in, I."
Can you make a word out of these two rows of matches without moving them?,"LOTTOExplanation:Just flip the two rows 1 and 2 vertically, you will find the word ""Lotto""."
"Look carefully at these graphs, can you find the actual height of the red bar?","8 MetersIf we look at the green bar we see that its real height is 2/3 of its shadow. So that means we need to find 2 shadows length for the red bar, the uninterruped part and the one on the wall. Since we now know the formula for the floor shadow - real height is 2/3 of it - meaning the part that makes that shadow is 4 meters long. Then we have to add the part on the wall which is straight up, it has no formula so we just add those 4 meters on the wall to the 4 meters we got from multiplying 2/3 by 6 meters and we have 4 meters + 4 meters = 8 meterss"
"One snowy night, Detective Anderson was in his house reading a book. All of a sudden a stone came crashing through his window, breaking it. Anderson got up and looked out the window just in time to see three neighborhood brats who were brothers run around a corner. Their names were Alan Jones, Mark Jones and Peter Jones.Not knowing of Anderson's reputation as a genius detective, the two innocent brats teased him by sent a note with clue on Anderson's front door.The note reads ""? Jones. He broke your window.""Which one of the three Jones brothers should Anderson question about the incident?",He should question Mark Jones.The ? is literally the words 'question mark' and then Jones is the last name.
"This riddle is from the 5th Harry Potter movie and book, so if you've read or seen them, please skip to the next riddle!""First think of the personwho lives in disguise,who deal in secrets and tells naught but lies.Next, tell me what's alwaysthe last thing to mend,the middle of middle andend of end? And finally,give me the sound often heardDuring the search for a hard-to-find word.Now string them together, and answer me this,Which creature would you be unwilling to kiss?""",A Spider.
"This was Gollum's final riddle from The Hobbit:""This thing all things devours;Bird, beasts, trees, flowers;Gnaws iron, bites steel;Grinds hard stones to meal;Slay king, ruins town,and beats a mountain down.""",Time.
There is a house you go in blind and come out seeing. What is it?,A school!This riddle is 4000 years old btw!
If there is a B in my hand - what is in my eye?,"In your eye is beauty.This answer is based on the phrase: ""Beauty is in the eye of the beholder."""
"I am small, but, when entire, of force to set a town on fire!Let but one letter disappear, I then can hold a herd of deer;Take one more off, and then you'll find, I once contained all human kind.",A Spark.
"I am a term used to confirm. But take away my front, my face, I become known as human avarice.",Agreed.
"What has six faces, But does not wear makeup. It also has twenty-one eyes, But cannot see?",A die (dice).
"Which of the following words don't belong in the group and why? CORSET, COSTER, SECTOR, ESCORT, COURTS",Courts.All the rest are anagrams of each other.
"It can't be seen, can't be felt, can't be heard and can't be smelt. It lies behind stars and under hills, and empty holes it fills. It comes first and follows after, ends life and kills laughter. What is it?",The Dark.
Lifeless eyes on my smiling face and watch your child's sleeping place. In their dreams they hold me tight. What am I?,A teddy bear.
How far can a dog run into the woods?,"Only halfway, after that, he's running OUT of the woods."
