,question,choice_list,choice_order
0,"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?","['A necklace', 'A scarf', 'A shoelace', 'A seatbelt.']",[3]
1,"If fruit comes from a fruit tree, where does chicken come from?","['A cow-tree', 'A fish-tree', 'A vegetable-tree', 'A poul-tree.']",[3]
2,What animal can jump higher than a tree?,"['Giraffe', 'Squirrel', ""All of them! Trees can't jump."", 'Kangaroo']",[2]
3,What did the bat say to his date?,"['""I\'m batty for you.""', '""You\'re a real night owl.""', '""You are fun to hang out with.""', '""Let\'s fly away together.""']",[2]
4,What did the octopus say to his crush on Valentine's day?,"['""I\'m tentacled by your beauty', '""I\'m ink-love with you', '""You octopi my thoughts', 'I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand.']",[3]
5,"Skunks never skip Valentine's Day, but why?","['They are rather scent-imental.', '""They have a secret admirer.""', '""They are allergic to flowers.""', '""They enjoy the smell of roses.""']",[0]
6,One of Santa's reindeer also works on Valentine's Day? Which one?,"['Dasher', 'Vixen', 'Cupid.', 'Prancer']",[2]
7,"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?","['""Arachnid lovebirds""', '""Honeymooners""', '""Spiderlings""', 'Newly webs.']",[3]
8,What does a snake couple do as they say goodbye?,"['They coil around each other', 'They shed their skin together', 'They slither away from each other', 'They give a hiss on the cheek to each other.']",[3]
9,What does the boy bird call his darling?,"['Feathered sweetheart', 'Tweetheart.', 'Chirpkin', 'Lovebird']",[1]
10,What do you call a couple of Italian ants?,"['Pizza', 'Pasta', 'Romance.', 'Gelato']",[2]
11,"From that which comes within itself,It builds its table on my shelf.What is it?","['A spider.', 'A bee', 'A squirrel', 'A bird']",[0]
12,"I wiggle and I cannot see,Sometimes I'm underground, and at times on a tree.I really don't want to end up on a hook,I turn into a person when combined with a book.What am I?","['A worm.', 'A centipede', 'A snake', 'A caterpillar']",[0]
13,A man is sitting in a small house with 4 walls. All of the walls are facing south. There is a bear lurking near the house. What color is the bear?,"['The bear is gray. Since all the walls of the house are facing south', 'The bear is brown. Since all the walls of the house are facing south', 'The bear is black. Since all the walls of the house are facing south', 'The bear is white. Since all the walls of the house are facing south, you can conclude that the house is located on the North Pole. Hence, the bear is most likely a polar bear.']",[3]
14,"I have legs but rarely walk.I bite many but never talk.I search for places that can hide me,Because those that feed me also hate me.What am I?","['A flea.', 'A mosquito', 'A spider', 'A tick']",[0]
15,"A raven, a monkey, and a squirrel are all racing to the top of a coconut tree. Which animal will get the banana?","['The raven', 'No one, because there are no bananas on a coconut tree!', 'The squirrel', 'The monkey']",[1]
16,Two silkworms started a fight. How did it end?,"['""They made peace""', '""They both got tangled up""', '""One of them won""', 'In a tie!']",[3]
17,What animal can lend you a buck?,"['A rabbit', 'A deer (male deer are called bucks).', 'A squirrel', 'A horse']",[1]
18,"Why did the chicken, the turkey, the goose, and the pigeon get in trouble?","['""Because they were causing a ruckus.""', 'Because of their fowl language.', '""Because they were stealing food.""', '""Because they were trespassing.""']",[1]
19,"A cat can jump up to 6 and a half meters. There is a window 3 feet away from the floor, but the feline can't jump through it. Why?","['The window was closed.', 'The window was too small for the cat to fit through.', 'The cat was afraid of heights.', 'The cat was too lazy to jump.']",[0]
20,Why did the fish blush?,"['""It saw a mermaid""', '""It saw a shark""', '""It saw a submarine""', ""It saw the ocean's bottom.""]",[3]
21,"I have around 5,000 feathers and I'm a bird native to America. People say Benjamin Franklin wanted me to be the national bird of the United States.What am I?","['A blue jay', 'A robin', 'A bald eagle', 'A turkey.']",[3]
22,What happens when you're shaving a looney sheep?,"['""Crazy clippers""', '""Fleeced frenzy""', '""Woolly chaos""', 'Shear madness.']",[3]
23,What do you call a cow sucked up by a tornado?,"['A cyclone smoothie', 'A tornado steak', 'A milkshake.', 'A twister burger']",[2]
24,I always sleep with my shoes on.What am I?,"['A dog', 'A bird', 'A horse.', 'A cat']",[2]
25,What do you call a cow spying on another cow?,"['""A moo-nitoring""', 'A steak out.', '""A cattle surveillance""', '""A beef undercover""']",[1]
26,"I stash treasures in the ground,And dig them out in winter.You can find me in a tree,Nibbling on my nutty dinner.What am I?","['Raccoon', 'Chipmunk', 'Rabbit', 'A squirrel.']",[3]
27,What is the first animal in space?,"['The dog that chased its tail', 'The cat that purred in the sun', 'The cow that jumped over the moon.', 'The monkey that swung from the trees']",[2]
28,"What goes tick-tock, bow-wow, tick-tock, bow-wow?","['""A cat meowing""', 'A watch dog.', '""A cow mooing""', '""A bird chirping""']",[1]
29,"I have a duck's bill, a beaver's tail, webbed feet, and I lay eggs.What am I?","['A seahorse', 'A flamingo', 'A platypus.', 'A penguin']",[2]
30,What steps must you take when you notice a tiger running toward you?,"['""Stand still and hope it doesn\'t see you""', '""Hide behind a tree""', 'Big ones!', '""Try to outrun the tiger""']",[2]
31,Why is it so difficult for the leopard to hide?,"[""Because it's too noisy."", ""Because it's always spotted."", ""Because it's too slow."", ""Because it's too big.""]",[1]
32,"I have no arms and legs. I crawl on my belly, and I have a lethal sting. When I go to sleep, I curl into a ring but I leave my eyes open wide. What am I?","['A scorpion', 'A spider', 'A snake.', 'A caterpillar']",[2]
33,"I live on a farm and I'm pink.I'm famous for saying ""oink...oink.""Come near me, and you'll realize I stink.What am I?","['A pig.', 'A cow', 'A chicken', 'A horse']",[0]
34,"My arms are longer than my legs, and I can be taught sign language to communicate with humans.What am I?","['A chimpanzee', 'A bonobo', 'An orangutan', 'A gorilla.']",[3]
35,I grow down as I grow up.What am I?,"['A ladder', 'A tree', 'A mountain', 'A goose - goose feathers are called down.']",[3]
36,I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,"['A zebra.', 'A zodiac sign', 'A zebra fish', 'A zucchini']",[0]
37,"A boy stood on one side of a river, and his cat was on the other side. When the boy called his cat, it crosses the river right away. Moreover, the cat's fur remained completely dry, and it didn't use a boat, bridge, or any other manmade vessel or structure to cross the bridge.How did the cat do it?","['he cat walked on a series of floating logs', 'he cat had a secret teleportation power', 'he cat used a hidden underground tunnel', 'The river was frozen.']",[3]
38,"A young man entered a pet shop in search of a talking parrot. On one of the cages, he saw a sign saying, ""This parrot repeats everything it hears."" The man bought the parrot and tried to teach it to speak. Yet, he was unsuccessful. The bird didn't say one word in over 2 weeks. So the man decided to return the parrot and accused the shopkeeper of lying. However, the shopkeeper insisted that he was saying the truth...How is this possible?","['The parrot was trained not to speak.', 'The parrot was mute.', 'The parrot was too young to start speaking.', 'The parrot was deaf.']",[3]
39,"What king do you make if you take the head of a llama, the middle of a pig, the back of a buffalo, and the tail of a stallion?","['A bear', 'A wolf', 'A tiger', 'A lion.']",[3]
40,"Sneaky as a shadow in the dead of night,Cunning but affectionate if given a bite.Never owned but often loved.What am I?","['A dog', 'A snake', 'A cat.', 'A bird']",[2]
41,What kind of can doesn't need a can-opener?,"['A tuna can', 'A soup can', 'A pelican.', 'A soda can']",[2]
42,"I'm grey, but I'm no wolf,I have long ears, but I'm not a rabbit,I have hooves, but I'm not a cow.What am I?","['A cow', 'A wolf', 'A rabbit', 'A donkey.']",[3]
43,"I'm a pet with cute ears, four legs, and a tail at the end.You surely heard me barking. I'm known as man's best friend.What am I?","['A dog.', 'A horse', 'A cat', 'A bird']",[0]
44,"Some are afraid of this creature,Because it has a large bite.So be careful out in the ocean,One of its kin is a Great White.What is it?","['A seal', 'A shark.', 'A whale', 'A dolphin']",[1]
45,"Throughout the day I rest and sleep.At night, I fly and hunt.I have no feathers on my wings,Nor do I chirp or grunt.What am I?","['A bird', 'A bat.', 'A butterfly', 'A vampire']",[1]
46,I am named after the animal I eat.What am I?,"['A lion', 'A bear', 'An anteater.', 'A tiger']",[2]
47,"I may be small, but I can climb a tower.What am I?","['A squirrel', 'A spider', 'An ant.', 'A bird']",[2]
48,"I'm not a superhero, but I have a cape. I have a comb, but I don't use it on my hair, and I am famously territorial.What am I?","['A rooster.', 'A penguin', 'A lion', 'A peacock']",[0]
49,"Imagine the following: you are walking through the woods and a huge bear is going to attack you. You are running for your dear life, but he is getting closer and closer...How can you escape from the bear?","['Quit imagining.', '""Play dead""', '""Throw food at the bear""', '""Climb up a tree""']",[0]
50,What did the duck say to the rooster as he dared him to a fight?,"['""Quack off!""', '""Feathers will fly!""', '""Time to ruffle some feathers!""', 'Are you chicken?']",[3]
51,"The dog was wearing a 2-foot leash. When he saw a squirrel, he immediately started chasing it, and he was really able to catch the squirrel.How did the dog succeed?","[""The squirrel was injured and couldn't run"", 'The dog had a secret superpower', 'The dog was incredibly fast', 'The leash was not tied to anything.']",[3]
52,This is a type of animalKnown for its long face.It's very good at runningSo people ride it in a race.,"['A cheetah', 'A horse.', 'A dog', 'A cow']",[1]
53,What do you call several identical parakeets sitting at the edge of a roof?,"['Parapets.', 'Parakeets', 'Roof', 'Edge']",[0]
54,What did the aardvark ask the taxi driver?,"[""Can you take me to my ants' place?"", '""Do you know where the nearest zoo is?""', '""Can you recommend a good restaurant?""', '""How much does a taxi ride usually cost?""']",[0]
55,Why did the silly dog swim down the rapids?,"['""Because he thought it was a game!""', '""Because he wanted to cool off!""', 'Because he likes ""ruff"" waters!', '""Because he was chasing a fish!""']",[2]
56,1 duck saw 4 elephants as it was going toward the river.Every elephant noticed 2 monkeys going to the river.Every monkey was carrying 1 dove in its paws.How many animals are going to the river?,"['Four animals are moving toward the river.', 'Seven animals are moving toward the river.', 'Three animals are moving toward the river.', ""Five animals are moving toward the river.Here's a detailed answer:1 duck noticed 4 elephants as it was going toward the river. Hence, 1 animal (the duck) is moving to the river.The 4 elephants saw 2 monkeys going walking toward the river. Now comes the tricky part. You may think that each elephant saw 2 different monkeys walking toward the river. So you would conclude that 4 x 2 = 8 monkeys were going to the river.However, the task does not explicitly say that each elephant saw DIFFERENT monkeys. In fact, you can logically infer that the elephants saw the SAME 2 monkeys. Hence, we only have 2 additional animals (monkeys) moving toward the river.Since every monkey was carrying 1 dove, the 2 monkeys were carrying 2 doves in total.Summing up, we have 1 duck, 2 monkeys, and 2 doves moving to the river. 1 + 2 + 2 = 5 animals.""]",[3]
